名字,一级类目,二级类目,出处书名,版本,描述,prompt,image_path
太行之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格的太行之山，巍峨挺拔，云雾缭绕，山间有古松点缀，远处可见瀑布飞泻而下，近处溪流潺潺，山脚下有几座简朴的茅屋，画面色彩以淡雅为主，展现出太行山脉的雄伟与幽静。,地名\山名\太行之山.png
天虞之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其下多水,不可以上,",prompt: 天虞之山，山势险峻，云雾缭绕，山脚下水流湍急，形成壮观的瀑布。山体覆盖着茂密的古木和奇花异草，显得神秘而不可攀。画面采用传统中国美学的彩色水墨风格，注重表现山水之间的和谐与自然之美。,地名\山名\天虞之山.png
㱙塗之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"青水窮焉,",prompt: 《山海经》中的㱙塗之山，青水穷焉，画面中展现一座巍峨的山脉，山势险峻，云雾缭绕。山脚下有一条清澈的河流，河水碧绿如玉，蜿蜒曲折地流向远方，最终消失在群山之间。山间树木葱郁，古木参天，瀑布飞泻而下，景色幽静而神秘。整个画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，充满诗意和古典韵味。,地名\山名\㱙塗之山.png
天子鄣,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统山水画风格，天子鄣山峰雄伟壮观，云雾缭绕，山间有古松和瀑布，色彩以淡雅的水墨色为主，远处山峦层叠，近处溪流潺潺，山脚下有一座古老的庙宇，庙宇前有石阶通向山顶，整幅画面充满神秘与庄严的气息。,地名\山名\天子鄣.png
無逹,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨风格，雄伟的无逹山，山峰挺拔，云雾缭绕，山间有古木参天，飞瀑流泉，山脚下有几间简朴的茅屋，远处隐约可见古代村落，整个画面充满神秘与宁静的气息。,地名\山名\無逹.png
武夫之丘,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"有九丘以水絡之,",prompt: 九座雄伟的山丘环绕着清澈的水域，山丘上树木葱郁，云雾缭绕，水面波光粼粼，远处群山连绵起伏，整个画面采用传统中国彩色水墨风格，充满神秘与古朴之美。,地名\山名\武夫之丘.png
無逢之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格的無逢之山，雄伟壮观的山脉连绵起伏，云雾缭绕其间，山间古木参天，瀑布飞泻而下，溪流潺潺，远处群山若隐若现，展现出一种神秘而宁静的氛围。画面中点缀着几处古朴的亭台楼阁，增添了几分人文气息。色彩以淡雅为主，用墨色深浅变化描绘出山石的质感和层次感，整体构图讲究平衡和谐，体现出中国古代山水画的独特韵味。,地名\山名\無逢之山.png
無臯之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"南望幼海,東望榑木,無草木,多風,廣貟百里,",prompt: 无皋之山，南望幼海，东望榑木，山上无草木，多风，广袤百里。请以传统中国美学的彩色水墨风格描绘这座神秘的山脉。画面中，山体雄伟挺拔，岩石嶙峋，山间云雾缭绕，远处是波光粼粼的幼海和苍翠的榑木林。天空中风起云涌，呈现出一种苍茫而寂寥的氛围。色彩上以淡雅的水墨色调为主，辅以淡淡的青绿和蓝色，展现出山与海、风与云的和谐共生。,地名\山名\無臯之山.png
呉姖天門,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"日月所入,",prompt: 中国传统山水画风格，呉姖天门，日月所入之地，山峰高耸入云，山间云雾缭绕，仿佛通往天界的门户。山顶有金色的光芒照耀，象征着太阳和月亮在此交汇。画面中可见古老的松树和飞流直下的瀑布，远处是淡淡的水墨渲染的山脉，整幅画呈现出一种神秘而庄严的氛围。,地名\山名\呉姖天門.png
吴林之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其中多葌草,",prompt: 吴林之山，山中多葌草，画面以传统中国美学的彩色水墨风格呈现，山峦起伏，云雾缭绕，翠绿的葌草遍布山间，随风轻轻摇曳，远处有古木参天，小溪潺潺流过，几只仙鹤在空中翱翔，增添了几分神秘与宁静。,地名\山名\吴林之山.png
維龍之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上有碧玉,其陽有金,其隂有鐵,肥水出焉,敞鐵之水出焉,",prompt: 维龙之山，其上有碧玉璀璨生辉，山阳藏金矿熠熠发光，山阴则蕴藏着丰富的铁矿。肥水和敞铁之水从山间流淌而出，清澈见底。整幅画面以古代插画风格呈现，采用传统中国美学的彩色水墨技法，展现出维龙之山的神秘与富饶。背景中，山峦起伏，云雾缭绕，增添了几分仙境般的氛围。前景中，碧玉、金矿和铁矿在阳光下闪烁着光芒，水流潺潺，生动地描绘出维龙之山的独特魅力。,地名\山名\維龍之山.png
王母之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 王母之山，巍峨壮观，云雾缭绕，山巅有瑶池仙境，周围奇花异草，珍禽异兽，山中流淌着清澈的泉水，远处可见仙鹤飞翔，近处有灵鹿悠闲漫步，整体呈现出一幅神秘而祥和的景象，参考古代插画风格和传统中国美学的彩色水墨风格。,地名\山名\王母之山.png
涹山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多赤銅,其隂多鐵,",prompt: 涹山，山上多赤铜，山阴多铁，呈现出古代神话中的壮丽景象。山体雄伟，山峰直插云霄，山石间散布着赤红色的铜矿，阳光照射下闪耀着金属光泽。山的阴面则覆盖着黑色的铁矿，与赤铜形成鲜明对比。山间云雾缭绕，古木参天，山脚下溪流潺潺，远处群山连绵起伏，整个画面采用传统中国美学的彩色水墨风格，展现出一种神秘而庄严的氛围。,地名\山名\涹山.png
文山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统彩色水墨画风格的文山，巍峨雄伟，山势险峻，云雾缭绕。山间古木参天，飞瀑流泉，石径蜿蜒而上，几处古刹隐现于林间，远处群峰连绵，近处溪水潺潺，一派宁静祥和的景象。,地名\山名\文山.png
巫山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"西行黃鳥,帝藥八齋,",prompt: 巫山，西行黄鸟飞翔于山间，帝药八斋隐匿其中，山势雄伟，云雾缭绕，古木参天，彩色水墨风格，传统中国美学，细腻的笔触描绘出神秘而壮丽的景象。,地名\山名\巫山.png
隗山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其西有丹,其東有玉,",prompt：一座名为隗山的雄伟山脉，其西面覆盖着红色的丹砂矿石，东面则点缀着璀璨的玉石。画面采用传统中国美学的彩色水墨风格，山体以淡墨勾勒，丹砂和玉石用鲜艳的颜色突出，展现出一种神秘而古朴的美感。背景中隐约可见古代神话中的奇珍异兽在山间游走，增添了几分奇幻色彩。,地名\山名\隗山.png
尾山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 一座古老而神秘的山峰，名为尾山，位于东方的尽头。山势险峻，云雾缭绕，山顶常年积雪。山中生长着奇花异草，山脚下有清澈的小溪流淌。山间有古老的神庙和石刻，透露出浓厚的古代文化气息。画面采用传统中国美学的彩色水墨风格，色彩以淡雅为主，突出山的雄伟与幽静。,地名\山名\尾山.png
維氏之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"無草木,多金玉,原水出焉,",prompt: 维氏之山，无草木覆盖，满山金玉闪烁，原水自山中涌出，流淌于石间。采用古代插画风格和传统中国美学的彩色水墨风格，展现维氏之山的独特风貌。画面中，山体以淡墨勾勒，细节处用细腻的笔触描绘金矿与玉石，色彩上以金色、白色为主，辅以淡雅的蓝绿色表现清澈的泉水。背景留白，营造出一种神秘而宁静的氛围。,地名\山名\維氏之山.png
王屋之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"多石,㶌水出焉,",prompt: 《山海经》中的王屋之山，多石崚嶒，山水相依，㶌水从山中潺潺流出，山体雄伟险峻，石头嶙峋。画面采用传统中国美学的彩色水墨风格，山石用浓淡不一的墨色勾勒出层次感，远近分明，展现出一种幽静而神秘的氛围。背景中隐约可见云雾缭绕，增添几分仙气。,地名\山名\王屋之山.png
衛於山丘,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"方圎三百里,丘南帝俊竹林在焉大可爲舟,竹南有赤澤水,有三桑,丘西有沉淵,",prompt: 一座方圆三百里的山丘，名为衛於山丘，山丘南部有一片茂密的帝俊竹林，竹子粗大可以制作舟船。竹林南边有一片赤色的湖泊，湖畔生长着三棵巨大的桑树。山丘西部则有一处深不见底的沉渊。整体画面采用古代插画风格和传统中国美学的彩色水墨风格，色彩浓郁而富有层次感，展现出神秘而壮丽的自然景象。,地名\山名\衛於山丘.png
務隅之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"帝顓頊葬于陽,九嬪葬于隂,一曰爰有熊羆文虎離朱𩿨乆視肉,",prompt: 一座古老而神秘的山峦，名为務隅之山，山上云雾缭绕，古木参天。山的阳面是帝顓頊的陵墓，周围环绕着九嫔的墓地，阴面则是幽静的山谷。山中栖息着各种神兽，包括熊、羆、文虎和离朱，以及传说中的视肉。画面采用传统中国美学的彩色水墨风格，描绘出務隅之山的庄严与神秘。背景中隐约可见古代的祭祀场景，增添一份历史的厚重感。,地名\山名\務隅之山.png
無睪之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 无睾之山，位于古老神话中的神秘山脉，山势险峻，云雾缭绕。山体被茂密的古木覆盖，山间溪流潺潺，瀑布飞泻而下。山顶常年积雪，与山下的绿意盎然形成鲜明对比。山中栖息着各种奇异的生物，如九尾狐、青鸾等。画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，展现出一种幽静而神秘的氛围。,地名\山名\無睪之山.png
小次之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多白玉,其下多赤銅,有獸焉,",prompt: 小次之山，山上多白玉，山下多赤铜，有兽焉。画面中，山峰峻峭，山体覆盖着皑皑白雪，阳光照耀下闪烁着耀眼的光芒。山脚下，赤铜矿石散落其间，与白雪形成鲜明对比。山林间，一只神秘的野兽若隐若现，其形态奇特，毛色斑斓，眼神中透出一股灵性。整体风格采用传统中国美学的彩色水墨画风，色彩丰富而和谐，线条流畅自然，展现出小次之山独特的自然风貌和神秘气息。,地名\山名\小次之山.png
先㩜大逢之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"大荒之中有山,河濟所入海北注焉,其西有山名曰禹所積石,",prompt: 一幅描绘大荒之中先㩜大逢之山的彩色水墨画，山势雄伟险峻，山顶云雾缭绕，山脚下是奔腾不息的河濟，河水从北向南注入大海。画面左侧远处隐约可见禹所積石山，山体轮廓清晰，与先㩜大逢之山遥相呼应。整个画面采用传统中国美学风格，色彩淡雅，笔触细腻，展现出一种宁静而神秘的氛围。,地名\山名\先㩜大逢之山.png
玄丹之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"有五色之鳥,爰有青鴍黄鷔青鳥黄鳥,",prompt: 玄丹之山，五色之鸟飞翔于山间，青鴍、黄鷔、青鸟、黄鸟在林中穿梭，背景为传统中国美学的彩色水墨风格，画面充满神秘与祥和的气息，色彩斑斓而和谐，古朴典雅。,地名\山名\玄丹之山.png
長城北山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"山在郁郅長垣北,",prompt: 长城北山，山在郁郅长垣北，山势雄伟，蜿蜒起伏，山顶云雾缭绕。山脚下有古老的城墙遗迹，与山脉融为一体，展现出古代边疆的壮丽景象。画面采用传统中国美学的彩色水墨风格，色调以青绿为主，辅以淡雅的蓝紫色，描绘出山川的秀美与历史的沧桑。,地名\山名\長城北山.png
成都載天,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"大荒之中,有人,",prompt: 大荒之中，有一座名为成都载天的雄伟山脉，山势险峻，云雾缭绕。山脚下，有一位神秘的人影站在苍茫的大地上，身着古朴的长袍，手持一柄长杖，面容庄重而威严。背景是连绵起伏的群山，山峰间云雾缭绕，仿佛与天相接。整个画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，展现出一种宁静而神秘的氛围。,地名\山名\成都載天.png
朝歌之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"谷多美堊,",prompt: 朝歌之山，山势雄伟壮丽，山谷间遍布着洁白细腻的美堊，如同仙境一般。山中云雾缭绕，古木参天，溪流潺潺，鸟鸣声声。画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，展现出一种宁静而神秘的氛围。,地名\山名\朝歌之山.png
朝歌之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"潕水出焉,其上多梓柟,其獸多麢麋,有草焉,",prompt: 朝歌之山，潕水从山中流出，山上长满了梓树和楠木，山中的动物多为麢和麋鹿，还有一种奇特的草。画面采用中国传统水墨画风格，色彩以青绿为主，远处是连绵起伏的山脉，近处是潺潺流水，树木郁郁葱葱，几只麢和麋鹿在林间悠闲地觅食，画面中还点缀着几株独特的草药，整体呈现出一种宁静和谐的自然景象。,地名\山名\朝歌之山.png
成侯之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多櫄木,其草多芃,",prompt：成侯之山，山上多櫄木，草木繁茂，以芃草为主。请描绘一幅古代插画风格的彩色水墨画，展现成侯之山的自然风光，山峦起伏，树木葱郁，芃草遍布山间，整体色调淡雅，富有中国传统美学韵味。,地名\山名\成侯之山.png
玄扈之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格，玄扈之山，山势雄伟险峻，云雾缭绕，山间有古木参天，飞瀑流泉。山脚下有一条蜿蜒曲折的溪流，溪边生长着各种奇花异草，远处群山连绵起伏，色彩以淡雅为主，透露出一种神秘而宁静的气息。,地名\山名\玄扈之山.png
小華之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其木多荆杞,其獸多㸲牛,其隂多磬石,其陽多㻬琈之玉,鳥多赤𪅶,其草有萆荔,",prompt: 小華之山，其木多荆杞，其獸多㸲牛，其隂多磬石，其陽多㻬琈之玉，鳥多赤𪅶，其草有萆荔。画面中，小華之山矗立在云雾缭绕之中，山脚下荆棘和枸杞树丛生，点缀着翠绿的叶片和红色的果实。山阴处散布着许多磬石，形状各异，色泽温润；山阳面则闪烁着美玉的光芒，如同星辰般璀璨。山间可见数头㸲牛悠闲地觅食，毛色斑斓，体型健壮。天空中飞翔着赤色羽毛的鸟儿，它们姿态优美，鸣声清脆。山坡上长满了萆荔，叶子青翠欲滴，花朵娇艳欲滴。整幅画面以彩色水墨风格呈现，富有传统中国美学的韵味。,地名\山名\小華之山.png
西皇之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其陽多金,其隂多鐵,其獸多麋鹿㸲牛,",prompt: 一座名为西皇之山的雄伟山脉，其阳面金矿丰富，阳光下闪烁着金色光芒；阴面则铁矿密布，呈现出深沉的铁灰色。山间麋鹿和牛群悠然自得地漫步，远处可见一群㸲牛在草地上悠闲吃草，整个画面采用古代插画风格，以传统中国美学的彩色水墨技法绘制，展现出一种宁静而神秘的自然之美。,地名\山名\西皇之山.png
小侯之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"明漳之水出焉,有鳥焉,",prompt: 中国传统山水画风格，小侯之山巍峨耸立，山间云雾缭绕，明漳之水从山中潺潺流出，清澈见底。山中有奇异的鸟儿栖息，羽毛色彩斑斓，形态优美，仿佛在轻声歌唱。画面采用彩色水墨技法，展现古代神话中的神秘与美丽。,地名\山名\小侯之山.png
西極,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 西極山，远古神话中的神秘山脉，峰峦起伏，云雾缭绕。山体雄伟壮观，山势险峻，山间有奇花异草和珍稀动物。画面中，西極山的主峰直插云霄，山脚下有古老的神庙和祭祀场所，四周环绕着茂密的森林和清澈的溪流。整幅画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，展现出一种古老而神秘的气息。,地名\山名\西極.png
係昆之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"有共工之臺,有人,",prompt: 係昆之山，山势雄伟险峻，云雾缭绕，山间有共工之台，台上有一座古老的祭坛，周围环绕着神秘的符文和图腾。山脚下有一群身穿古代服饰的人们，他们手持祭祀用具，正虔诚地向山顶祭拜。整个画面采用传统中国美学的彩色水墨风格，色彩淡雅，线条流畅，充满古朴而神秘的气息。,地名\山名\係昆之山.png
凶犁土丘,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"應龍處南極,",prompt: 古代神话中的凶犁土丘，应龙盘踞于南极之地，山势险峻，云雾缭绕。应龙身姿雄伟，鳞片闪烁着幽蓝的光芒，双翼展开如巨幕，眼中透出深邃的智慧之光。山体以彩色水墨风格呈现，山石嶙峋，植被茂密，远处雪山隐约可见，天空中飘浮着几朵祥云，整幅画面充满神秘而庄严的氛围。,地名\山名\凶犁土丘.png
先民之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 先民之山，一座古老而神秘的山脉，山势雄伟壮观，山峰云雾缭绕。山中古木参天，藤蔓缠绕，溪流潺潺，瀑布飞泻。山脚下散布着古老的村落，村民们穿着传统服饰，过着宁静和谐的生活。画面采用彩色水墨风格，展现出浓厚的传统中国美学。,地名\山名\先民之山.png
西山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 西山，雄伟壮丽的山脉，峰峦起伏，云雾缭绕。山间古木参天，溪流潺潺，瀑布飞泻而下。山脚下有古老的村落，炊烟袅袅升起。远处可见几座寺庙和道观隐藏在山林之中，显得格外幽静。整个画面以传统中国彩色水墨风格绘制，展现出西山的神秘与美丽。,地名\山名\西山.png
錫山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多玉,其下有砥,牛首之水出焉,",prompt: 一座名为錫山的山脉，山上遍布着珍贵的玉石，山脚下则是丰富的砥石资源。牛首之水从山中缓缓流出，清澈见底。整幅画面采用传统中国美学的彩色水墨风格，山峦层叠，云雾缭绕，树木葱郁，展现出一种宁静而神秘的氛围。,地名\山名\錫山.png
繡山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上有玉青碧,其木多栒,其草多芍藥芎藭,洧水出焉,",prompt: 一座名为繡山的山脉，山上覆盖着青碧色的玉石，树木以栒木为主，草地上长满了芍药和芎藭。从山中流出一条清澈的洧水。整幅画面采用彩色水墨风格，展现出古代插画的韵味，色彩以青绿色为主调，细腻描绘出山石、树木和花草的细节，营造出一种幽静而神秘的氛围。,地名\山名\繡山.png
熊山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统水墨画风格，熊山，雄伟的山脉连绵起伏，山峰云雾缭绕，山间有几处瀑布飞泻而下，山脚下是茂密的森林和清澈的小溪，远处可见一些古代建筑隐藏在山林之中，整幅画面色彩淡雅，充满神秘与宁静之美。,地名\山名\熊山.png
宣山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"淪水出焉,其上有桑焉,",prompt: 宣山，山势雄伟，云雾缭绕，淪水从山中潺潺流出，清澈见底。山上生长着茂密的桑树，枝叶繁茂，果实累累。画面采用彩色水墨风格，展现出中国传统美学的韵味，山石用淡墨勾勒，树木和水流则以细腻的笔触描绘，整体呈现出一种宁静而神秘的氛围。,地名\山名\宣山.png
滎山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"榮水出焉,",prompt: 滎山，荣水从山中流出，山势雄伟，云雾缭绕，山间植被茂盛，古木参天。荣水清澈见底，蜿蜒曲折，溪流两侧奇石嶙峋，花草繁盛。画面采用传统中国美学的彩色水墨风格，笔触细腻，色彩淡雅，展现出滎山的神秘与壮丽。,地名\山名\滎山.png
鮮山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其木多楢杻苴,其草多𧄸冬,其陽多金,其隂多鐵,有獸焉,",prompt: 请绘制一幅描绘《山海经》中鲜山的图像，画面中应有大量楢树、杻树和苴草，以及一种未命名的神秘野兽。背景是典型的中国传统山水画风格，使用彩色水墨技法展现山的阳面富含金矿，阴面则多铁矿。整体色调以自然和谐为主，展现出古老而神秘的气息。,地名\山名\鮮山.png
鮮山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"多金玉,無草木,鮮水出焉,其中多鳴蛇,",prompt: 一座名为鮮山的山脉，山上多金玉矿藏，没有草木覆盖，呈现出一片荒凉而神秘的景象。从山中流出一条清澈的溪流，名为鮮水。在山间和溪流周围，可以看到许多鸣蛇，它们盘旋于岩石之间，发出清脆悦耳的声音。画面采用古代插画风格，融合传统中国美学的彩色水墨技法，展现出一种古老而奇幻的氛围。,地名\山名\鮮山.png
𦍙山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 《山海经》中的𦍙山，古老而神秘的山脉，山势险峻，云雾缭绕。山中生长着各种奇异的草木，如千年古松、仙人掌和奇花异草。山间溪流潺潺，瀑布飞泻，景色壮丽。山脚下有古老的村落，村民们世代居住于此，过着与世无争的生活。整幅画面采用传统中国美学的彩色水墨风格，色彩淡雅，笔触细腻，展现出一种宁静而神秘的氛围。,地名\山名\𦍙山.png
襄山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统山水画风格的襄山，山势雄伟，云雾缭绕，山间有古木参天，溪流潺潺。山脚下有一座古朴的村落，炊烟袅袅，村民们在田间劳作。整幅画面以淡雅的水墨色调为主，辅以细腻的彩色渲染，展现出一种宁静而深远的意境。,地名\山名\襄山.png
咸山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上有玉,其下多銅,多松栢,草多茈草,條菅之水出焉,",prompt: 古代山海经中的咸山，山上覆盖着珍贵的玉石，山脚下蕴藏着丰富的铜矿。山中生长着茂密的松柏，草地上开满了紫色的茈草。一条清澈的小溪从山间蜿蜒而出，溪水潺潺，滋润着这片土地。画面采用传统中国美学的彩色水墨风格，展现出咸山的神秘与壮丽。,地名\山名\咸山.png
洵山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其陽多金,其隂多玉,有獸焉,洵水出焉,",prompt: 洵山，其阳多金，其阴多玉，有兽焉，洵水出焉。请描绘一座雄伟的山脉，山体峻峭险峻，阳光照射下，山南面闪烁着金色的光芒，象征丰富的金矿；山北面则笼罩在淡淡的蓝绿色中，象征丰富的玉石资源。山间有一只神秘的异兽，身形矫健，毛色斑斓，或隐或现于山林之间。山脚下，一条清澈的河流蜿蜒流出，名为洵水，河水潺潺，滋养着山下的土地。整幅画面采用传统中国彩色水墨画风格，色彩丰富而和谐，展现出一种宁静而神秘的氛围。,地名\山名\洵山.png
姓山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 中国传统山水画风格，描绘一座雄伟的山脉，山峰挺拔入云，山间云雾缭绕，山脚下有清澈的溪流和茂密的森林，色彩以青绿为主，点缀着淡墨色的树木和岩石，画面充满宁静与神秘感。,地名\山名\姓山.png
熊山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"有穴焉,其上多白玉,其下多白金,其木多樗栁,其草多㓂脫,",prompt: 一座名为熊山的山脉，山上有一个洞穴，洞穴上方覆盖着洁白如雪的玉石，洞穴下方则埋藏着丰富的白银矿藏。山上的树木以樗树和柳树为主，它们在微风中轻轻摇曳。山脚下生长着茂盛的草本植物，其中一种叫做㓂脫的草尤为显眼。整个画面采用古代插画风格，结合传统中国美学的彩色水墨风格，展现出一种神秘而宁静的氛围。,地名\山名\熊山.png
薫吴之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"無草木,多金玉,",prompt: 一座名为薫吴之山的山脉，山上无草木覆盖，岩石裸露，但山中蕴藏丰富的金矿和玉石。画面以传统中国彩色水墨风格呈现，山体峻峭挺拔，金色的矿脉和碧绿的玉石在阳光下闪烁着光芒，展现出一种神秘而富饶的气息。,地名\山名\薫吴之山.png
小咸之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"無草木,冬夏有雪,",prompt: 小咸之山，一座终年积雪的神秘山脉，山上无草木生长，四季皆白茫茫一片。请以古代插画风格和传统中国美学的彩色水墨风格描绘这座山，展现其静谧而庄严的自然之美。画面中可见山峰峻峭，白雪皑皑，山间云雾缭绕，仿佛隐匿着无数未解之谜。,地名\山名\小咸之山.png
鮮野山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,,prompt: 鮮野山，一座充满神秘色彩的古老山脉，山峦起伏，云雾缭绕。山中古木参天，奇花异草遍布，溪流潺潺，鸟鸣声声。远处可见瀑布飞泻而下，汇入清澈见底的湖泊。山脚下散布着古老的村落，村民们过着宁静和谐的生活。整幅画面以彩色水墨风格呈现，富有传统中国美学特色。,地名\山名\鮮野山.png
軒轅之丘,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"無草木,洵水出焉,",prompt: 軒轅之丘，一座荒凉的山丘，无草木覆盖，唯有裸露的岩石和土壤。从山丘的一侧，洵水缓缓流出，清澈见底。画面采用古代插画风格，以传统中国美学的彩色水墨渲染，展现出一种苍茫而神秘的氛围。背景中可以隐约看到远处的山脉轮廓，天空呈现出淡淡的灰色调，增添一丝寂寥感。,地名\山名\軒轅之丘.png
縣雍之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多玉,其下多銅,其獸多閭麋,其鳥多白翟白䳑,晉水出焉,",prompt: 县雍之山，山上多玉，山下多铜，山中兽类多为闾麋，鸟类多为白翟和白鷳，晋水从这里发源。画面以中国传统彩色水墨风格呈现，山体雄伟壮观，山顶覆盖着翠绿的树木和闪烁的玉石，山脚下有铜矿脉若隐若现。山林间闾麋悠闲地漫步，天空中飞翔着洁白的白翟和白鷳，清澈的晋水从山间蜿蜒流出，形成一幅宁静而美丽的山水画卷。,地名\山名\縣雍之山.png
咸隂之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"無草木,無水,",prompt: 咸隂之山，一片荒凉之地，山上无草木生长，也无水源流淌。山体呈现出苍茫的灰色，岩石裸露在外，风化的痕迹清晰可见。天空中云层低垂，阳光稀薄，给人一种压抑而神秘的感觉。整个画面以传统中国水墨风格绘制，色彩淡雅，线条流畅，展现出一种古朴而深邃的美感。,地名\山名\咸隂之山.png
軒轅之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上多銅,其下多竹,有鳥焉,",prompt: 軒轅之山，山上多銅礦，山下竹林茂密，有一種奇特的鳥棲息其中，山勢險峻而秀美，遠處雲霧繚繞，近處溪流潺潺，整體呈現傳統中國彩色水墨風格，色彩淡雅，筆觸細膩，富有詩意和神秘感。,地名\山名\軒轅之山.png
休與之山,地名,山名,山海經十八卷,宋淳熙七年（1180）池陽郡齋刻本,"其上有石焉,有草焉,",prompt: 休與之山，山上奇石嶙峋，形态各异，有的如卧龙盘踞，有的似猛虎下山，石头表面覆盖着青苔和藤蔓。山间草木葱郁，有各种奇异的草药生长其间，有的草叶如翠玉般晶莹剔透，有的花朵散发出淡淡的幽香。整个画面以彩色水墨风格呈现，色彩淡雅，线条流畅，展现出一种宁静而神秘的氛围。,地名\山名\休與之山.png
