名字,名字（拼音）,原文行,相关人物,章节,相关人物（拼音）,关系,relation
松山,songshan（松山）,又北百二十里，曰松山。陽水出焉，東北流注于河。,"陽水,河",北山經,"yangshui（陽水）,he（河）","出,流注","go out,Flowing injection"
松果之山,songguozhishan（松果之山）,西四十五里，曰松果之山，濩水出焉，北流注于渭，其中多銅。有鳥焉，其名曰䳋渠，其狀如山雞，黑身赤足，可以已𦢊。,"䳋渠,濩水,渭,𦢊,銅",西山經,"tongqu（䳋渠）,huoshui（濩水）,wei（渭）,bao（𦢊）,tong（銅）","存在,出,流注,治疗,包含","exist,go out,Flowing injection,treat,embody"
枏,nan（枏）,又西二百里，曰翠山，其上多椶枏，其下多竹箭，其陽多黃金、玉，其陰多旄牛，麢、麝；其鳥多鸓，其狀如鵲，赤黑而西首四足，可以禦火。,"旄牛,翠山,竹箭,麢,麝,鸓,鵲,玉,金",西山經,"maoniu（旄牛）,cuishan（翠山）,zhujian（竹箭）,ling（麢）,she（麝）,lei（鸓）,que（鵲）,yu（玉）,jin（金）","无关,生长,共存,无关,无关,无关,无关,无关,无关","Independent,grow,coexistence,Independent,Independent,Independent,Independent,Independent,Independent"
林氏國,linshiguo（林氏國）,林氏國有珍獸，大若虎，五彩畢具，尾長於身，名曰騶吾，乘之日行千里。,"騶吾,虎,若",海內北經,"zouwu（騶吾）,hu（虎）,ruo（若）","拥有,无关,无关","possess,Independent,Independent"
枝,zhi（枝）,又東五十二里，曰放皋之山。明水出焉，南流注于伊水，其中多蒼玉。有木焉，其葉如槐，黃華而不實，其名曰蒙木，服之不惑。有獸焉，其狀如蜂，枝尾而反舌，善呼，其名曰文文。|又東五十里，曰少室之山，百草木成囷。其上有木焉，其名曰帝休，葉狀如楊，其枝五衢，黃華黑實，服者不怒。其上多玉，其下多鐵。休水出焉，而北流注于洛，其中多䱱魚，狀如𥂕蜼而長距，足白而對，食者無蠱疾，可以禦兵。|又西南五十里，曰繁繢之山，其木多楢杻，其草多枝勾。|又東南三十五里，曰從山，其上多松柏，其下多竹。從水出于其上，潛于其下，其中多三足鱉，枝尾，食之無蠱疫。|又東五十里，曰宣山。淪水出焉，東南流注于視水，其中多蛟。其上有桑焉，大五十尺，其枝四衢，其葉大尺餘，赤理黃華青柎，名曰帝女之桑。|又北水行五百里，流沙三百里，至于洹山，其上多金玉。三桑生之，其樹皆無枝，其高百仞。百果樹生之，其下多怪蛇。|東北海之外，大荒之中，河水之間，附禺之山，帝顓頊與九嬪葬焉。爰有𩿨久、文貝、離俞、鸞鳥、凰鳥、大物、小物。有青鳥、琅鳥、玄鳥、黃鳥、虎、豹、熊、羆、黃蛇、視肉、璿、瑰、瑤、碧，皆出衛於山。丘方圓三百里，丘南帝俊竹林在焉，大可為舟。竹南有赤澤水，名曰封淵。有三桑無枝。丘西有沉淵，顓頊所浴。|大荒之中，有山名㱙塗之山，青水窮焉。有雲雨之山，有木名曰欒。禹攻雲雨，有赤石焉生欒，黃本，赤枝，青葉，群帝焉取藥。|有蓋猶之山者，其上有甘柤，枝幹皆赤，黃葉，白華，黑實。東又有甘華，枝幹皆赤，黃葉。有青馬。有赤馬，名曰三騅。有視肉。|有九丘，以水絡之：名曰陶唐之丘、有叔得之丘、孟盈之丘、昆吾之丘、黑白之丘、赤望之丘、參衛之丘、武夫之丘、神民之丘。有木，青葉紫莖，玄華黃實，名曰建木，百仞無枝，有九欘，下有九枸，其實如麻，其葉如芒，大皞爰過，黃帝所為。|桑無枝，在歐絲東，其木長百仞，無枝。|下有湯谷。湯谷上有扶桑，十日所浴，在黑齒北。居水中，有大木，九日居下枝，一日居上枝。,"文文,伊水,明水,蒙木,蒼玉,蜂,服,槐,惑,少室之山,䱱魚,休水,帝休,蜼,服,囷,楊,蠱,玉,鐵,繁繢之山,楢,杻,勾,從山,從水,松,竹,蠱,帝女之桑,宣山,淪水,蛟,視,百果樹,怪蛇,洹山,流沙,三桑,玉,金,附禺之山,帝俊竹林,帝顓頊,視肉,文貝,玄鳥,鸞鳥,琅鳥,離俞,青鳥,北海,沉淵,封淵,三桑,熊,豹,虎,羆,蛇,舟,河,碧,㱙塗之山,雲雨之山,青水,赤石,禹,帝,欒,視肉,赤馬,青馬,三騅,甘華,甘柤,陶唐之丘,武夫之丘,赤望之丘,參衛之丘,昆吾之丘,孟盈之丘,叔得之丘,神民之丘,建木,帝,麻,絲,桑,湯谷,扶桑",中山經;中山經;中山經;中山經;中山經;北山經;大荒北經;大荒南經;大荒南經;海內經;海外北經;海外東經,"wenwen（文文）,yishui（伊水）,mingshui（明水）,mengmu（蒙木）,cangyu（蒼玉）,feng（蜂）,fu（服）,huai（槐）,huo（惑）,shaoshizhishan（少室之山）,tiyu（䱱魚）,xiushui（休水）,dixiu（帝休）,wei（蜼）,fu（服）,qun（囷）,yang（楊）,gu（蠱）,yu（玉）,tie（鐵）,fanhuizhishan（繁繢之山）,you（楢）,chou（杻）,gou（勾）,congshan（從山）,congshui（從水）,song（松）,zhu（竹）,gu（蠱）,dinvzhisang（帝女之桑）,xuanshan（宣山）,lunshui（淪水）,jiao（蛟）,shi（視）,baiguoshu（百果樹）,guaishe（怪蛇）,huanshan（洹山）,liusha（流沙）,sansang（三桑）,yu（玉）,jin（金）,fuyuzhishan（附禺之山）,dijunzhulin（帝俊竹林）,dizhuanxu（帝顓頊）,shirou（視肉）,wenbei（文貝）,xuanniao（玄鳥）,luanniao（鸞鳥）,langniao（琅鳥）,liyu（離俞）,qingniao（青鳥）,beihai（北海）,chenyuan（沉淵）,fengyuan（封淵）,sansang（三桑）,xiong（熊）,bao（豹）,hu（虎）,pi（羆）,she（蛇）,zhou（舟）,he（河）,bi（碧）,xiutuzhishan（㱙塗之山）,yunyuzhishan（雲雨之山）,qingshui（青水）,chishi（赤石）,yu（禹）,di（帝）,luan（欒）,shirou（視肉）,chima（赤馬）,qingma（青馬）,sanzhui（三騅）,ganhua（甘華）,ganzha（甘柤）,taotangzhiqiu（陶唐之丘）,wufuzhiqiu（武夫之丘）,chiwangzhiqiu（赤望之丘）,canweizhiqiu（參衛之丘）,kunwuzhiqiu（昆吾之丘）,mengyingzhiqiu（孟盈之丘）,shudezhiqiu（叔得之丘）,shenminzhiqiu（神民之丘）,jianmu（建木）,di（帝）,ma（麻）,si（絲）,sang（桑）,tanggu（湯谷）,fusang（扶桑）","无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,属于,无关,服用,无关,无关,无关,无关,无关,生长于,无关,无关,并列,无关,无关,无关,无关,无关,属于,存在,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,取,无关,无关,无关,无关,无关,无关,属于,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无,无关,包含","Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,belong,Independent,Taking,Independent,Independent,Independent,Independent,Independent,Grew up in,Independent,Independent,juxtaposition,Independent,Independent,Independent,Independent,Independent,belong,exist,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,take,Independent,Independent,Independent,Independent,Independent,Independent,belong,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,not,Independent,embody"
枳,zhi（枳）,又北一百里，曰北嶽之山，多枳棘剛木。有獸焉，其狀如牛而四角，人目、彘耳，其名曰諸懷，其音如鳴鴈，是食人。諸懷之水出焉，而西流注于囂水，其中多鮨魚，魚身而犬首，其音如嬰兒，食之已狂。|又西百二十里，曰浮山，多盼木，枳葉而無傷，木蟲居之。有草焉，名曰薰草，麻葉而方莖，赤華而黑實，臭如蘼蕪，佩之可以已癘。|《西次三經》之首，曰崇吾之山，在河之南，北望冡遂，南望䍃之澤，西望帝之搏、獸之丘，東望䗡淵。有木焉，員葉而白柎，赤華而黑理，其實如枳，食之宜子孫。有獸焉，其狀如禺而文臂，豹虎而善投，名曰舉父。有鳥焉，其狀如鳧，而一翼一目，相得乃飛，名曰蠻蠻，見則天下大水。,"北嶽之山,諸懷之水,鮨魚,鳴鴈,囂水,剛木,彘,牛,犬,棘,狂,嬰,木蟲,浮山,盼木,蘼蕪,麻,癘,崇吾之山,西次三經,䍃之澤,舉父,蠻蠻,鳧,帝,禺,豹,虎,河,相,投",北山經;西山經;西山經,"beiyuezhishan（北嶽之山）,zhuhuaizhishui（諸懷之水）,yiyu（鮨魚）,mingyan（鳴鴈）,xiaoshui（囂水）,gangmu（剛木）,zhi（彘）,niu（牛）,quan（犬）,ji（棘）,kuang（狂）,ying（嬰）,muchong（木蟲）,fushan（浮山）,panmu（盼木）,miwu（蘼蕪）,ma（麻）,li（癘）,chongwuzhishan（崇吾之山）,xicisanjing（西次三經）,youzhize（䍃之澤）,jufu（舉父）,manman（蠻蠻）,fu（鳧）,di（帝）,yu（禺）,bao（豹）,hu（虎）,he（河）,xiang（相）,tou（投）","生长,无关,无关,无关,无关,无关,无关,无关,无关,并列,无关,无关,居住,生长,无关,无关,无关,无关,生长,属于,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关","grow,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,juxtaposition,Independent,Independent,reside,grow,Independent,Independent,Independent,Independent,grow,belong,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent"
柄山,bingshan（柄山）,又西二百五十里，曰柄山，其上多玉，其下多銅。滔雕之水出焉，而北流注于洛。其中多羬羊。有木焉，其狀如樗，其葉如桐而莢實，其名曰茇，可以毒魚。,"滔雕之水,羬羊,桐,樗,茇,玉,銅",中山經,"taodiaozhishui（滔雕之水）,qianyang（羬羊）,tong（桐）,chu（樗）,ba（茇）,yu（玉）,tong（銅）","流出,存在,无关,无关,生长,存在,存在","outflow,exist,Independent,Independent,grow,exist,exist"
柔利國,rouliguo（柔利國）,柔利國在一目東，為人一手一足，反膝，曲足居上。一云留利之國，人足反折。,"留利之國,折",海外北經,"liulizhiguo（留利之國）,zhe（折）","同义,反折","synonymy,Reverse"
柘,zhe（柘）,又北三十里，曰講山，其上多玉，多柘，多柏。有木焉，名曰帝屋，葉狀如椒，反傷赤實，可以禦凶。|又南百二十里，曰若山，其上多㻬琈之玉，多赭，多邽石，多寓木，多柘。|又東南一百二十里，曰彘山，多美石，多柘。|又東五十里，曰師每之山，其陽多砥礪，其陰多青䨼，其木多柏，多檀，多柘，其草多竹。|又東南二百里，曰琴鼓之山，其木多穀柞椒柘，其上多白珉，其下多洗石，其獸多豕鹿，多白犀，其鳥多鴆。|又東北一百四十里，曰崍山，江水出焉，東流注大江。其陽多黃金，其陰多麋麈，其木多檀柘，其草多薤韭，多葯、空奪。|又東三百里，曰勾檷之山，其上多玉，其下多黃金，其木多櫟柘，其草多芍藥。|又西三十里，曰楮山，多寓木，多椒椐，多柘，多堊。|又北三百二十里，曰灌題之山，其上多樗柘，其下多流沙，多砥。有獸焉，其狀如牛而白尾，其音如訆，名曰那父。有鳥焉，其狀如雌雉而人面，見人則躍，名曰竦斯，其鳴自呼也。匠韓之水出焉，而西流注于泑澤，其中多磁石。|又北二百里，曰發鳩之山，其上多柘木。有鳥焉，其狀如烏，文首、白喙、赤足，名曰精衛，其鳴自詨。是炎帝之少女，名曰女娃，女娃遊于東海，溺而不返，故為精衛，常銜西山之木石，以堙于東海。漳水出焉，東流注于河。|又南四百里，曰姑兒之山，其上多漆，其下多桑柘。姑兒之水出焉，北流注于海，其中多鱤魚。,"講山,帝屋,椒,玉,㻬琈之玉,若山,寓木,邽石,赭,彘山,美石,師每之山,青䨼,檀,竹,砥,礪,白犀,洗石,白珉,琴,鹿,豕,鴆,柞,椒,崍山,大江,江水,空奪,麈,麋,檀,薤,葯,韭,金,勾檷之山,芍藥,櫟,玉,金,楮山,寓木,椐,椒,堊,灌題之山,匠韓之水,那父,雌雉,竦斯,泑澤,流沙,磁石,牛,樗,砥,發鳩之山,炎帝,女娃,精衛,西山,漳水,東海,烏,河,石,姑兒之山,姑兒之水,鱤魚,漆,桑",中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;北山經;北山經;東山經,"jiangshan（講山）,diwu（帝屋）,jiao（椒）,yu（玉）,tufuzhiyu（㻬琈之玉）,ruoshan（若山）,yumu（寓木）,guishi（邽石）,zhe（赭）,zhishan（彘山）,meishi（美石）,shimeizhishan（師每之山）,qinghu（青䨼）,tan（檀）,zhu（竹）,di（砥）,li（礪）,baixi（白犀）,xishi（洗石）,baimin（白珉）,qin（琴）,lu（鹿）,shi（豕）,zhen（鴆）,zha（柞）,jiao（椒）,laishan（崍山）,dajiang（大江）,jiangshui（江水）,kongduo（空奪）,zhu（麈）,mi（麋）,tan（檀）,xie（薤）,yao（葯）,jiu（韭）,jin（金）,gounizhishan（勾檷之山）,shaoyao（芍藥）,li（櫟）,yu（玉）,jin（金）,chushan（楮山）,yumu（寓木）,ju（椐）,jiao（椒）,e（堊）,guantizhishan（灌題之山）,jianghanzhishui（匠韓之水）,nafu（那父）,cizhi（雌雉）,songsi（竦斯）,youze（泑澤）,liusha（流沙）,cishi（磁石）,niu（牛）,chu（樗）,di（砥）,fajiuzhishan（發鳩之山）,yandi（炎帝）,nvwa（女娃）,jingwei（精衛）,xishan（西山）,zhangshui（漳水）,donghai（東海）,wu（烏）,he（河）,shi（石）,guerzhishan（姑兒之山）,guerzhishui（姑兒之水）,ganyu（鱤魚）,qi（漆）,sang（桑）","生长,无关,无关,共存,共存,生长于,并列,共存,共存,生长,无关,生长,无关,共存,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,并列,并列,生长,无关,无关,无关,无关,无关,并列,无关,无关,无关,无关,生长,共存,并列,无关,无关,生长,共存,无关,无关,共存,生长,无关,无关,无关,无关,无关,无关,无关,无关,共存,无关,生长于,无关,无关,无关,无关,无关,无关,无关,无关,无关,生长,存在,无关,共存,共存","grow,Independent,Independent,coexistence,coexistence,Grew up in,juxtaposition,coexistence,coexistence,grow,Independent,grow,Independent,coexistence,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,juxtaposition,juxtaposition,grow,Independent,Independent,Independent,Independent,Independent,juxtaposition,Independent,Independent,Independent,Independent,grow,coexistence,juxtaposition,Independent,Independent,grow,coexistence,Independent,Independent,coexistence,grow,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,coexistence,Independent,Grew up in,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,Independent,grow,exist,Independent,coexistence,coexistence"
柘山,zheshan（柘山）,又北百七十里，曰柘山，其陽有金玉，其陰有鐵。歷聚之水出焉，而北流注于洧水。,"歷聚之水,洧水,玉,金,鐵",北山經,"lijuzhishui（歷聚之水）,weishui（洧水）,yu（玉）,jin（金）,tie（鐵）","出,流注,有,有,存在","go out,Flowing injection,Yes,Yes,exist"
柜山,guishan（柜山）,《南次二經》之首，曰柜山，西臨流黃，北望諸毗，東望長右。英水出焉，西南流注于赤水，其中多白玉，多丹粟。有獸焉，其狀如豚，有距，其音如狗吠，其名曰狸力，見則其縣多土功。有鳥焉，其狀如鴟而人手，其音如痺，其名曰鴸，其鳴自號也，見則其縣多放士。|凡《南次二經》之首，自柜山至于漆吳之山，凡十七山，七千二百里。其神狀皆龍身而鳥首。其祠：毛用一璧瘞，糈用稌。,"南次二經,赤水,長右,狸力,諸毗,英水,丹粟,白玉,痺,狗,豚,鴟,縣,南次二經,龍,漆,瘞,毛,璧,糈",南山經;南山經,"nancierjing（南次二經）,chishui（赤水）,zhangyou（長右）,lili（狸力）,zhupi（諸毗）,yingshui（英水）,dansu（丹粟）,baiyu（白玉）,bi（痺）,gou（狗）,tun（豚）,chi（鴟）,xian（縣）,nancierjing（南次二經）,long（龍）,qi（漆）,yi（瘞）,mao（毛）,bi（璧）,xu（糈）","属于,无关,东望,包含,北望,出,存在,无关,无关,无关,无关,无关,影响,属于,无关,无关,无关,无关,无关,无关","belong,Independent,Looking east,embody,Looking north,go out,exist,Independent,Independent,Independent,Independent,Independent,effect,belong,Independent,Independent,Independent,Independent,Independent,Independent"
柜格之松,guigezhisong（柜格之松）,西海之外，大荒之中，有方山者，上有青樹，名曰柜格之松，日月所出入也。,"方山,西海,青樹",大荒西經,"fangshan（方山）,xihai（西海）,qingshu（青樹）","位于,位于,是","situated,situated,be"
柝,tuo（柝）,北二百八十里，曰大咸之山，無草木，其下多玉。是山也，四方，不可以上。有蛇名曰長蛇，其毛如彘豪，其音如鼓柝。,"大咸之山,長蛇,彘,毛,玉",北山經,"daxianzhishan（大咸之山）,zhangshe（長蛇）,zhi（彘）,mao（毛）,yu（玉）","无关,像,无关,无关,无关","Independent,resemble,Independent,Independent,Independent"
柞,zha（柞）,東三百里，曰首山，其陰多穀柞，草多𦬸芫，其陽多㻬琈之玉，木多槐；其陰有谷，曰机谷，多𩿁鳥，其狀如梟而三目，有耳，其音如錄，食之已墊。|又東十里，曰良餘之山，其上多穀柞，無石。餘水出于其陰，而北流注于河；乳水出于其陽，而東南流注于洛。|又東北二十里，曰升山，其木多穀柞棘，其草多藷藇蕙，多寇脫。黃酸之水出焉，而北流注于河，其中多琁玉。|又東百三十里，曰銅山，其上多金銀鐵，其木多穀柞柤栗橘櫾，其獸多犳。|又東南五十里，曰衡山，上多寓木穀柞，多黃堊白堊。|又東北百五十里，曰仁舉之山，其木多穀柞，其陽多赤金，其陰多赭。|又東南二百里，曰琴鼓之山，其木多穀柞椒柘，其上多白珉，其下多洗石，其獸多豕鹿，多白犀，其鳥多鴆。|又西五十里，曰涿山，其木多穀柞杻，其陽多㻬琈之玉。|又東南三百里，曰豐山。有獸焉，其狀如蝯，赤目、赤喙、黃身，名曰雍和，見則國有大恐。神耕父處之，常遊清泠之淵，出入有光，見則其國為敗。有九鐘焉，是知霜鳴。其上多金，其下多穀柞杻橿。|又東二十五里，曰大支之山，其陽多金，其木多穀柞，無草木。|又東南一百三十里，曰龜山，其木多穀柞椆椐，其上多黃金，其下多青雄黃，多扶竹。|又東二百里，曰真陵之山，其上多黃金，其下多玉，其木多穀柞柳杻，其草多榮草。|又西百八十里，曰大時之山，上多穀柞，下多杻橿，陰多銀，陽多白玉。涔水出焉，北流注于渭，清水出焉，南流注于漢水。|北百七十里，曰申山，其上多穀柞，其下多杻橿，其陽多金玉。區水出焉，而東流注于河。,"㻬琈之玉,首山,机谷,梟,槐,芫,𦬸,墊,良餘之山,餘水,乳水,河,石,升山,藷藇,琁玉,河,棘,蕙,銅山,犳,櫾,柤,橘,栗,銀,金,鐵,衡山,寓木,白堊,仁舉之山,赤金,赭,白犀,洗石,白珉,琴,鹿,豕,鴆,柘,椒,㻬琈之玉,涿山,杻,清泠之淵,耕父,雍和,豐山,蝯,橿,杻,金,大支之山,金,龜山,扶竹,椐,椆,金,真陵之山,榮草,杻,玉,金,大時之山,涔水,漢水,清水,白玉,渭,橿,杻,銀,申山,區水,河,橿,杻,玉,金",中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;中山經;西山經;西山經,"tufuzhiyu（㻬琈之玉）,shoushan（首山）,jigu（机谷）,xiao（梟）,huai（槐）,yan（芫）,zhu（𦬸）,dian（墊）,liangyuzhishan（良餘之山）,yushui（餘水）,rushui（乳水）,he（河）,shi（石）,shengshan（升山）,shuxu（藷藇）,xuanyu（琁玉）,he（河）,ji（棘）,hui（蕙）,tongshan（銅山）,zhuo（犳）,you（櫾）,zha（柤）,ju（橘）,li（栗）,yin（銀）,jin（金）,tie（鐵）,hengshan（衡山）,yumu（寓木）,baie（白堊）,renjuzhishan（仁舉之山）,chijin（赤金）,zhe（赭）,baixi（白犀）,xishi（洗石）,baimin（白珉）,qin（琴）,lu（鹿）,shi（豕）,zhen（鴆）,zhe（柘）,jiao（椒）,tufuzhiyu（㻬琈之玉）,zhuoshan（涿山）,chou（杻）,qinglingzhiyuan（清泠之淵）,gengfu（耕父）,yonghe（雍和）,fengshan（豐山）,yuan（蝯）,jiang（橿）,chou（杻）,jin（金）,dazhizhishan（大支之山）,jin（金）,guishan（龜山）,fuzhu（扶竹）,ju（椐）,chou（椆）,jin（金）,zhenlingzhishan（真陵之山）,rongcao（榮草）,chou（杻）,yu（玉）,jin（金）,dashizhishan（大時之山）,censhui（涔水）,hanshui（漢水）,qingshui（清水）,baiyu（白玉）,wei（渭）,jiang（橿）,chou（杻）,yin（銀）,shenshan（申山）,qushui（區水）,he（河）,jiang（橿）,chou（杻）,yu（玉）,jin（金）","无关,生长,无关,无关,无关,无关,无关,无关,生长,无关,无关,无关,无关,生长,无关,无关,无关,并列,无关,生长,无关,并列,并列,无关,并列,无关,无关,无关,生长,并列,无关,生长,无关,无关,无关,无关,存在,无关,无关,无关,无关,并列,并列,无关,生长,并列,无关,无关,无关,生长,无关,并列,并列,无关,生长,无关,生长,无关,并列,并列,无关,生长,无关,并列,无关,无关,生长,无关,无关,无关,无关,无关,并列,并列,无关,生长,无关,无关,无关,无关,无关,无关","Independent,grow,Independent,Independent,Independent,Independent,Independent,Independent,grow,Independent,Independent,Independent,Independent,grow,Independent,Independent,Independent,juxtaposition,Independent,grow,Independent,juxtaposition,juxtaposition,Independent,juxtaposition,Independent,Independent,Independent,grow,juxtaposition,Independent,grow,Independent,Independent,Independent,Independent,exist,Independent,Independent,Independent,Independent,juxtaposition,juxtaposition,Independent,grow,juxtaposition,Independent,Independent,Independent,grow,Independent,juxtaposition,juxtaposition,Independent,grow,Independent,grow,Independent,juxtaposition,juxtaposition,Independent,grow,Independent,juxtaposition,Independent,Independent,grow,Independent,Independent,Independent,Independent,Independent,juxtaposition,juxtaposition,Independent,grow,Independent,Independent,Independent,Independent,Independent,Independent"
