名字,原文行,相关人物,章节
杻,又東南二百里，曰即公之山，其上多黃金，其下多㻬琈之玉，其木多柳杻檀桑。有獸焉，其狀如龜，而白身赤首，名曰蛫，是可以禦火。,"即公之山,㻬琈之玉,蛫,龜,桑,檀,金",中山經
桑,又東南二百里，曰即公之山，其上多黃金，其下多㻬琈之玉，其木多柳杻檀桑。有獸焉，其狀如龜，而白身赤首，名曰蛫，是可以禦火。,"即公之山,㻬琈之玉,蛫,龜,杻,檀,金",中山經
檀,又東南二百里，曰即公之山，其上多黃金，其下多㻬琈之玉，其木多柳杻檀桑。有獸焉，其狀如龜，而白身赤首，名曰蛫，是可以禦火。,"即公之山,㻬琈之玉,蛫,龜,杻,桑,金",中山經
金,又東南二百里，曰即公之山，其上多黃金，其下多㻬琈之玉，其木多柳杻檀桑。有獸焉，其狀如龜，而白身赤首，名曰蛫，是可以禦火。,"即公之山,㻬琈之玉,蛫,龜,杻,桑,檀",中山經
堯山,又東南一百五十九里，曰堯山，其陰多黃堊，其陽多黃金，其木多荊芑柳檀，其草多藷藇𦬸。,"藷藇,芑,檀,𦬸,堊,金",中山經
藷藇,又東南一百五十九里，曰堯山，其陰多黃堊，其陽多黃金，其木多荊芑柳檀，其草多藷藇𦬸。,"堯山,芑,檀,𦬸,堊,金",中山經
芑,又東南一百五十九里，曰堯山，其陰多黃堊，其陽多黃金，其木多荊芑柳檀，其草多藷藇𦬸。,"堯山,藷藇,檀,𦬸,堊,金",中山經
檀,又東南一百五十九里，曰堯山，其陰多黃堊，其陽多黃金，其木多荊芑柳檀，其草多藷藇𦬸。,"堯山,藷藇,芑,𦬸,堊,金",中山經
𦬸,又東南一百五十九里，曰堯山，其陰多黃堊，其陽多黃金，其木多荊芑柳檀，其草多藷藇𦬸。,"堯山,藷藇,芑,檀,堊,金",中山經
堊,又東南一百五十九里，曰堯山，其陰多黃堊，其陽多黃金，其木多荊芑柳檀，其草多藷藇𦬸。,"堯山,藷藇,芑,檀,𦬸,金",中山經
金,又東南一百五十九里，曰堯山，其陰多黃堊，其陽多黃金，其木多荊芑柳檀，其草多藷藇𦬸。,"堯山,藷藇,芑,檀,𦬸,堊",中山經
江浮之山,又東南一百里，曰江浮之山，其上多銀砥礪，無草木，其獸多豕鹿。,"鹿,豕,銀,砥,礪",中山經
鹿,又東南一百里，曰江浮之山，其上多銀砥礪，無草木，其獸多豕鹿。,"江浮之山,豕,銀,砥,礪",中山經
豕,又東南一百里，曰江浮之山，其上多銀砥礪，無草木，其獸多豕鹿。,"江浮之山,鹿,銀,砥,礪",中山經
銀,又東南一百里，曰江浮之山，其上多銀砥礪，無草木，其獸多豕鹿。,"江浮之山,鹿,豕,砥,礪",中山經
砥,又東南一百里，曰江浮之山，其上多銀砥礪，無草木，其獸多豕鹿。,"江浮之山,鹿,豕,銀,礪",中山經
礪,又東南一百里，曰江浮之山，其上多銀砥礪，無草木，其獸多豕鹿。,"江浮之山,鹿,豕,銀,砥",中山經
真陵之山,又東二百里，曰真陵之山，其上多黃金，其下多玉，其木多穀柞柳杻，其草多榮草。,"榮草,柞,杻,玉,金",中山經
榮草,又東二百里，曰真陵之山，其上多黃金，其下多玉，其木多穀柞柳杻，其草多榮草。,"真陵之山,柞,杻,玉,金",中山經
柞,又東二百里，曰真陵之山，其上多黃金，其下多玉，其木多穀柞柳杻，其草多榮草。,"真陵之山,榮草,杻,玉,金",中山經
杻,又東二百里，曰真陵之山，其上多黃金，其下多玉，其木多穀柞柳杻，其草多榮草。,"真陵之山,榮草,柞,玉,金",中山經
玉,又東二百里，曰真陵之山，其上多黃金，其下多玉，其木多穀柞柳杻，其草多榮草。,"真陵之山,榮草,柞,杻,金",中山經
金,又東二百里，曰真陵之山，其上多黃金，其下多玉，其木多穀柞柳杻，其草多榮草。,"真陵之山,榮草,柞,杻,玉",中山經
陽帝之山,又東南一百二十里，曰陽帝之山，多美銅，其木多檀杻檿楮，其獸多麢麝。,"美銅,麢,麝,檿,杻,檀,楮",中山經
美銅,又東南一百二十里，曰陽帝之山，多美銅，其木多檀杻檿楮，其獸多麢麝。,"陽帝之山,麢,麝,檿,杻,檀,楮",中山經
麢,又東南一百二十里，曰陽帝之山，多美銅，其木多檀杻檿楮，其獸多麢麝。,"陽帝之山,美銅,麝,檿,杻,檀,楮",中山經
麝,又東南一百二十里，曰陽帝之山，多美銅，其木多檀杻檿楮，其獸多麢麝。,"陽帝之山,美銅,麢,檿,杻,檀,楮",中山經
檿,又東南一百二十里，曰陽帝之山，多美銅，其木多檀杻檿楮，其獸多麢麝。,"陽帝之山,美銅,麢,麝,杻,檀,楮",中山經
杻,又東南一百二十里，曰陽帝之山，多美銅，其木多檀杻檿楮，其獸多麢麝。,"陽帝之山,美銅,麢,麝,檿,檀,楮",中山經
檀,又東南一百二十里，曰陽帝之山，多美銅，其木多檀杻檿楮，其獸多麢麝。,"陽帝之山,美銅,麢,麝,檿,杻,楮",中山經
楮,又東南一百二十里，曰陽帝之山，多美銅，其木多檀杻檿楮，其獸多麢麝。,"陽帝之山,美銅,麢,麝,檿,杻,檀",中山經
柴桑之山,又南九十里，曰柴桑之山，其上多銀，其下多碧，多汵石赭，其木多柳芑楮桑，其獸多麋鹿，多白蛇飛蛇。,"飛蛇,白蛇,汵石,鹿,麋,芑,楮,銀,赭,碧",中山經
飛蛇,又南九十里，曰柴桑之山，其上多銀，其下多碧，多汵石赭，其木多柳芑楮桑，其獸多麋鹿，多白蛇飛蛇。,"柴桑之山,白蛇,汵石,鹿,麋,芑,楮,銀,赭,碧",中山經
白蛇,又南九十里，曰柴桑之山，其上多銀，其下多碧，多汵石赭，其木多柳芑楮桑，其獸多麋鹿，多白蛇飛蛇。,"柴桑之山,飛蛇,汵石,鹿,麋,芑,楮,銀,赭,碧",中山經
汵石,又南九十里，曰柴桑之山，其上多銀，其下多碧，多汵石赭，其木多柳芑楮桑，其獸多麋鹿，多白蛇飛蛇。,"柴桑之山,飛蛇,白蛇,鹿,麋,芑,楮,銀,赭,碧",中山經
鹿,又南九十里，曰柴桑之山，其上多銀，其下多碧，多汵石赭，其木多柳芑楮桑，其獸多麋鹿，多白蛇飛蛇。,"柴桑之山,飛蛇,白蛇,汵石,麋,芑,楮,銀,赭,碧",中山經
麋,又南九十里，曰柴桑之山，其上多銀，其下多碧，多汵石赭，其木多柳芑楮桑，其獸多麋鹿，多白蛇飛蛇。,"柴桑之山,飛蛇,白蛇,汵石,鹿,芑,楮,銀,赭,碧",中山經
芑,又南九十里，曰柴桑之山，其上多銀，其下多碧，多汵石赭，其木多柳芑楮桑，其獸多麋鹿，多白蛇飛蛇。,"柴桑之山,飛蛇,白蛇,汵石,鹿,麋,楮,銀,赭,碧",中山經
楮,又南九十里，曰柴桑之山，其上多銀，其下多碧，多汵石赭，其木多柳芑楮桑，其獸多麋鹿，多白蛇飛蛇。,"柴桑之山,飛蛇,白蛇,汵石,鹿,麋,芑,銀,赭,碧",中山經
銀,又南九十里，曰柴桑之山，其上多銀，其下多碧，多汵石赭，其木多柳芑楮桑，其獸多麋鹿，多白蛇飛蛇。,"柴桑之山,飛蛇,白蛇,汵石,鹿,麋,芑,楮,赭,碧",中山經
赭,又南九十里，曰柴桑之山，其上多銀，其下多碧，多汵石赭，其木多柳芑楮桑，其獸多麋鹿，多白蛇飛蛇。,"柴桑之山,飛蛇,白蛇,汵石,鹿,麋,芑,楮,銀,碧",中山經
碧,又南九十里，曰柴桑之山，其上多銀，其下多碧，多汵石赭，其木多柳芑楮桑，其獸多麋鹿，多白蛇飛蛇。,"柴桑之山,飛蛇,白蛇,汵石,鹿,麋,芑,楮,銀,赭",中山經
榮余之山,又東二百三十里，曰榮余之山，其上多銅，其下多銀，其木多柳芑，其蟲多怪蛇怪蟲。,"怪蟲,怪蛇,芑,銀,銅",中山經
怪蟲,又東二百三十里，曰榮余之山，其上多銅，其下多銀，其木多柳芑，其蟲多怪蛇怪蟲。,"榮余之山,怪蛇,芑,銀,銅",中山經
怪蛇,又東二百三十里，曰榮余之山，其上多銅，其下多銀，其木多柳芑，其蟲多怪蛇怪蟲。,"榮余之山,怪蟲,芑,銀,銅",中山經
芑,又東二百三十里，曰榮余之山，其上多銅，其下多銀，其木多柳芑，其蟲多怪蛇怪蟲。,"榮余之山,怪蟲,怪蛇,銀,銅",中山經
銀,又東二百三十里，曰榮余之山，其上多銅，其下多銀，其木多柳芑，其蟲多怪蛇怪蟲。,"榮余之山,怪蟲,怪蛇,芑,銅",中山經
銅,又東二百三十里，曰榮余之山，其上多銅，其下多銀，其木多柳芑，其蟲多怪蛇怪蟲。,"榮余之山,怪蟲,怪蛇,芑,銀",中山經
陽帝之山,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
夫夫之山,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
即公之山,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
篇遇之山,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
榮余之山,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
洞庭山,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
牝豚,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
堯山,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
少牢,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
太牢,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
吉玉,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
雄鷄,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
龍,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,瘞,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
瘞,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,嬰,刉,祈,肆,毛,璧,圭,糈,酒",中山經
嬰,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,刉,祈,肆,毛,璧,圭,糈,酒",中山經
刉,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,祈,肆,毛,璧,圭,糈,酒",中山經
祈,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,肆,毛,璧,圭,糈,酒",中山經
肆,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,毛,璧,圭,糈,酒",中山經
毛,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,璧,圭,糈,酒",中山經
璧,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,圭,糈,酒",中山經
圭,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,糈,酒",中山經
糈,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,酒",中山經
酒,凡洞庭山之首，自篇遇之山至于榮余之山，凡十五山，二千八百里。其神狀皆鳥身而龍首。其祠：毛用一雄鷄、一牝豚刉，糈用稌。凡夫夫之山、即公之山、堯山、陽帝之山，皆冢也，其祠：皆肆瘞，祈用酒，毛用少牢，嬰毛一吉玉。洞庭、榮余山，神也，其祠：皆肆瘞，祈酒太牢祠，嬰用圭璧十五，五彩惠之。,"陽帝之山,夫夫之山,即公之山,篇遇之山,榮余之山,洞庭山,牝豚,堯山,少牢,太牢,吉玉,雄鷄,龍,瘞,嬰,刉,祈,肆,毛,璧,圭,糈",中山經
梁父,禹曰：天下名山，經五千三百七十山，六萬四千五十六里，居地也。言其五臧，蓋其餘小山甚眾，不足記云。天地之東西二萬八千里，南北二萬六千里，出水之山者八千里，受水者八千里，出銅之山四百六十七，出鐵之山三千六百九十。此天地之所分壤樹穀也，戈矛之所發也，刀鎩之所起也，能者有餘，拙者不足。封於太山，禪於梁父，七十二家，得失之數，皆在此內，是謂國用。,"太山,禹,刀,戈,矛,銅,鐵",中山經
太山,禹曰：天下名山，經五千三百七十山，六萬四千五十六里，居地也。言其五臧，蓋其餘小山甚眾，不足記云。天地之東西二萬八千里，南北二萬六千里，出水之山者八千里，受水者八千里，出銅之山四百六十七，出鐵之山三千六百九十。此天地之所分壤樹穀也，戈矛之所發也，刀鎩之所起也，能者有餘，拙者不足。封於太山，禪於梁父，七十二家，得失之數，皆在此內，是謂國用。,"梁父,禹,刀,戈,矛,銅,鐵",中山經
禹,禹曰：天下名山，經五千三百七十山，六萬四千五十六里，居地也。言其五臧，蓋其餘小山甚眾，不足記云。天地之東西二萬八千里，南北二萬六千里，出水之山者八千里，受水者八千里，出銅之山四百六十七，出鐵之山三千六百九十。此天地之所分壤樹穀也，戈矛之所發也，刀鎩之所起也，能者有餘，拙者不足。封於太山，禪於梁父，七十二家，得失之數，皆在此內，是謂國用。,"梁父,太山,刀,戈,矛,銅,鐵",中山經
刀,禹曰：天下名山，經五千三百七十山，六萬四千五十六里，居地也。言其五臧，蓋其餘小山甚眾，不足記云。天地之東西二萬八千里，南北二萬六千里，出水之山者八千里，受水者八千里，出銅之山四百六十七，出鐵之山三千六百九十。此天地之所分壤樹穀也，戈矛之所發也，刀鎩之所起也，能者有餘，拙者不足。封於太山，禪於梁父，七十二家，得失之數，皆在此內，是謂國用。,"梁父,太山,禹,戈,矛,銅,鐵",中山經
戈,禹曰：天下名山，經五千三百七十山，六萬四千五十六里，居地也。言其五臧，蓋其餘小山甚眾，不足記云。天地之東西二萬八千里，南北二萬六千里，出水之山者八千里，受水者八千里，出銅之山四百六十七，出鐵之山三千六百九十。此天地之所分壤樹穀也，戈矛之所發也，刀鎩之所起也，能者有餘，拙者不足。封於太山，禪於梁父，七十二家，得失之數，皆在此內，是謂國用。,"梁父,太山,禹,刀,矛,銅,鐵",中山經
矛,禹曰：天下名山，經五千三百七十山，六萬四千五十六里，居地也。言其五臧，蓋其餘小山甚眾，不足記云。天地之東西二萬八千里，南北二萬六千里，出水之山者八千里，受水者八千里，出銅之山四百六十七，出鐵之山三千六百九十。此天地之所分壤樹穀也，戈矛之所發也，刀鎩之所起也，能者有餘，拙者不足。封於太山，禪於梁父，七十二家，得失之數，皆在此內，是謂國用。,"梁父,太山,禹,刀,戈,銅,鐵",中山經
銅,禹曰：天下名山，經五千三百七十山，六萬四千五十六里，居地也。言其五臧，蓋其餘小山甚眾，不足記云。天地之東西二萬八千里，南北二萬六千里，出水之山者八千里，受水者八千里，出銅之山四百六十七，出鐵之山三千六百九十。此天地之所分壤樹穀也，戈矛之所發也，刀鎩之所起也，能者有餘，拙者不足。封於太山，禪於梁父，七十二家，得失之數，皆在此內，是謂國用。,"梁父,太山,禹,刀,戈,矛,鐵",中山經
鐵,禹曰：天下名山，經五千三百七十山，六萬四千五十六里，居地也。言其五臧，蓋其餘小山甚眾，不足記云。天地之東西二萬八千里，南北二萬六千里，出水之山者八千里，受水者八千里，出銅之山四百六十七，出鐵之山三千六百九十。此天地之所分壤樹穀也，戈矛之所發也，刀鎩之所起也，能者有餘，拙者不足。封於太山，禪於梁父，七十二家，得失之數，皆在此內，是謂國用。,"梁父,太山,禹,刀,戈,矛,銅",中山經
單狐之山,《北山經》之首，曰單狐之山，多机木，其上多華草。漨水出焉，而西流注于泑水，其中多芘石文石。,"泑水,漨水,机木,華草,文石,芘石",北山經
泑水,《北山經》之首，曰單狐之山，多机木，其上多華草。漨水出焉，而西流注于泑水，其中多芘石文石。,"單狐之山,漨水,机木,華草,文石,芘石",北山經
漨水,《北山經》之首，曰單狐之山，多机木，其上多華草。漨水出焉，而西流注于泑水，其中多芘石文石。,"單狐之山,泑水,机木,華草,文石,芘石",北山經
机木,《北山經》之首，曰單狐之山，多机木，其上多華草。漨水出焉，而西流注于泑水，其中多芘石文石。,"單狐之山,泑水,漨水,華草,文石,芘石",北山經
華草,《北山經》之首，曰單狐之山，多机木，其上多華草。漨水出焉，而西流注于泑水，其中多芘石文石。,"單狐之山,泑水,漨水,机木,文石,芘石",北山經
文石,《北山經》之首，曰單狐之山，多机木，其上多華草。漨水出焉，而西流注于泑水，其中多芘石文石。,"單狐之山,泑水,漨水,机木,華草,芘石",北山經
芘石,《北山經》之首，曰單狐之山，多机木，其上多華草。漨水出焉，而西流注于泑水，其中多芘石文石。,"單狐之山,泑水,漨水,机木,華草,文石",北山經
