名字,原文行,相关人物,章节,关系,名字（拼音）,相关人物（拼音）
邽石,又東南七十里，曰讙山，其木多檀，多邽石，多白錫。郁水出于其上，潛于其下，其中多砥礪。,"讙山,郁水,白錫,檀,砥,礪",中山經,"存在,无关,并列,共存,无关,无关",guishi（邽石）,"huanshan（讙山）,yushui（郁水）,baixi（白錫）,tan（檀）,di（砥）,li（礪）"
白錫,又東南七十里，曰讙山，其木多檀，多邽石，多白錫。郁水出于其上，潛于其下，其中多砥礪。,"讙山,郁水,邽石,檀,砥,礪",中山經,"存在,无关,无关,无关,无关,无关",baixi（白錫）,"huanshan（讙山）,yushui（郁水）,guishi（邽石）,tan（檀）,di（砥）,li（礪）"
檀,又東南七十里，曰讙山，其木多檀，多邽石，多白錫。郁水出于其上，潛于其下，其中多砥礪。,"讙山,郁水,邽石,白錫,砥,礪",中山經,"生长于,无关,共存,无关,无关,无关",tan（檀）,"huanshan（讙山）,yushui（郁水）,guishi（邽石）,baixi（白錫）,di（砥）,li（礪）"
砥,又東南七十里，曰讙山，其木多檀，多邽石，多白錫。郁水出于其上，潛于其下，其中多砥礪。,"讙山,郁水,邽石,白錫,檀,礪",中山經,"存在,存在,无关,无关,无关,并列",di（砥）,"huanshan（讙山）,yushui（郁水）,guishi（邽石）,baixi（白錫）,tan（檀）,li（礪）"
礪,又東南七十里，曰讙山，其木多檀，多邽石，多白錫。郁水出于其上，潛于其下，其中多砥礪。,"讙山,郁水,邽石,白錫,檀,砥",中山經,"存在于,存在于,无关,无关,无关,并列",li（礪）,"huanshan（讙山）,yushui（郁水）,guishi（邽石）,baixi（白錫）,tan（檀）,di（砥）"
仁舉之山,又東北百五十里，曰仁舉之山，其木多穀柞，其陽多赤金，其陰多赭。,"赤金,柞,赭",中山經,"包含,生长,存在",renjuzhishan（仁舉之山）,"chijin（赤金）,zha（柞）,zhe（赭）"
赤金,又東北百五十里，曰仁舉之山，其木多穀柞，其陽多赤金，其陰多赭。,"仁舉之山,柞,赭",中山經,"存在,无关,无关",chijin（赤金）,"renjuzhishan（仁舉之山）,zha（柞）,zhe（赭）"
柞,又東北百五十里，曰仁舉之山，其木多穀柞，其陽多赤金，其陰多赭。,"仁舉之山,赤金,赭",中山經,"生长,无关,无关",zha（柞）,"renjuzhishan（仁舉之山）,chijin（赤金）,zhe（赭）"
赭,又東北百五十里，曰仁舉之山，其木多穀柞，其陽多赤金，其陰多赭。,"仁舉之山,赤金,柞",中山經,"存在,无关,无关",zhe（赭）,"renjuzhishan（仁舉之山）,chijin（赤金）,zha（柞）"
師每之山,又東五十里，曰師每之山，其陽多砥礪，其陰多青䨼，其木多柏，多檀，多柘，其草多竹。,"青䨼,柘,檀,竹,砥,礪",中山經,"存在,生长,生长,生长,包含,包含",shimeizhishan（師每之山）,"qinghu（青䨼）,zhe（柘）,tan（檀）,zhu（竹）,di（砥）,li（礪）"
青䨼,又東五十里，曰師每之山，其陽多砥礪，其陰多青䨼，其木多柏，多檀，多柘，其草多竹。,"師每之山,柘,檀,竹,砥,礪",中山經,"存在,无关,无关,无关,无关,无关",qinghu（青䨼）,"shimeizhishan（師每之山）,zhe（柘）,tan（檀）,zhu（竹）,di（砥）,li（礪）"
柘,又東五十里，曰師每之山，其陽多砥礪，其陰多青䨼，其木多柏，多檀，多柘，其草多竹。,"師每之山,青䨼,檀,竹,砥,礪",中山經,"生长,无关,共存,无关,无关,无关",zhe（柘）,"shimeizhishan（師每之山）,qinghu（青䨼）,tan（檀）,zhu（竹）,di（砥）,li（礪）"
檀,又東五十里，曰師每之山，其陽多砥礪，其陰多青䨼，其木多柏，多檀，多柘，其草多竹。,"師每之山,青䨼,柘,竹,砥,礪",中山經,"存在,无关,并列,无关,无关,无关",tan（檀）,"shimeizhishan（師每之山）,qinghu（青䨼）,zhe（柘）,zhu（竹）,di（砥）,li（礪）"
竹,又東五十里，曰師每之山，其陽多砥礪，其陰多青䨼，其木多柏，多檀，多柘，其草多竹。,"師每之山,青䨼,柘,檀,砥,礪",中山經,"生长,无关,无关,无关,无关,无关",zhu（竹）,"shimeizhishan（師每之山）,qinghu（青䨼）,zhe（柘）,tan（檀）,di（砥）,li（礪）"
砥,又東五十里，曰師每之山，其陽多砥礪，其陰多青䨼，其木多柏，多檀，多柘，其草多竹。,"師每之山,青䨼,柘,檀,竹,礪",中山經,"存在,无关,无关,无关,无关,并列",di（砥）,"shimeizhishan（師每之山）,qinghu（青䨼）,zhe（柘）,tan（檀）,zhu（竹）,li（礪）"
礪,又東五十里，曰師每之山，其陽多砥礪，其陰多青䨼，其木多柏，多檀，多柘，其草多竹。,"師每之山,青䨼,柘,檀,竹,砥",中山經,"存在,无关,无关,无关,无关,并列",li（礪）,"shimeizhishan（師每之山）,qinghu（青䨼）,zhe（柘）,tan（檀）,zhu（竹）,di（砥）"
白犀,又東南二百里，曰琴鼓之山，其木多穀柞椒柘，其上多白珉，其下多洗石，其獸多豕鹿，多白犀，其鳥多鴆。,"洗石,白珉,琴,鹿,豕,鴆,柞,柘,椒",中山經,"无关,无关,无关,无关,共存,无关,无关,无关,无关",baixi（白犀）,"xishi（洗石）,baimin（白珉）,qin（琴）,lu（鹿）,shi（豕）,zhen（鴆）,zha（柞）,zhe（柘）,jiao（椒）"
洗石,又東南二百里，曰琴鼓之山，其木多穀柞椒柘，其上多白珉，其下多洗石，其獸多豕鹿，多白犀，其鳥多鴆。,"白犀,白珉,琴,鹿,豕,鴆,柞,柘,椒",中山經,"无关,无关,无关,无关,无关,无关,无关,无关,无关",xishi（洗石）,"baixi（白犀）,baimin（白珉）,qin（琴）,lu（鹿）,shi（豕）,zhen（鴆）,zha（柞）,zhe（柘）,jiao（椒）"
白珉,又東南二百里，曰琴鼓之山，其木多穀柞椒柘，其上多白珉，其下多洗石，其獸多豕鹿，多白犀，其鳥多鴆。,"白犀,洗石,琴,鹿,豕,鴆,柞,柘,椒",中山經,"无关,并存,存在,无关,无关,无关,存在,存在,存在",baimin（白珉）,"baixi（白犀）,xishi（洗石）,qin（琴）,lu（鹿）,shi（豕）,zhen（鴆）,zha（柞）,zhe（柘）,jiao（椒）"
琴,又東南二百里，曰琴鼓之山，其木多穀柞椒柘，其上多白珉，其下多洗石，其獸多豕鹿，多白犀，其鳥多鴆。,"白犀,洗石,白珉,鹿,豕,鴆,柞,柘,椒",中山經,"无关,无关,存在,无关,无关,无关,无关,存在,存在",qin（琴）,"baixi（白犀）,xishi（洗石）,baimin（白珉）,lu（鹿）,shi（豕）,zhen（鴆）,zha（柞）,zhe（柘）,jiao（椒）"
鹿,又東南二百里，曰琴鼓之山，其木多穀柞椒柘，其上多白珉，其下多洗石，其獸多豕鹿，多白犀，其鳥多鴆。,"白犀,洗石,白珉,琴,豕,鴆,柞,柘,椒",中山經,"共存,无关,无关,无关,共存,无关,无关,无关,无关",lu（鹿）,"baixi（白犀）,xishi（洗石）,baimin（白珉）,qin（琴）,shi（豕）,zhen（鴆）,zha（柞）,zhe（柘）,jiao（椒）"
豕,又東南二百里，曰琴鼓之山，其木多穀柞椒柘，其上多白珉，其下多洗石，其獸多豕鹿，多白犀，其鳥多鴆。,"白犀,洗石,白珉,琴,鹿,鴆,柞,柘,椒",中山經,"无关,无关,无关,无关,共存,无关,无关,无关,无关",shi（豕）,"baixi（白犀）,xishi（洗石）,baimin（白珉）,qin（琴）,lu（鹿）,zhen（鴆）,zha（柞）,zhe（柘）,jiao（椒）"
鴆,又東南二百里，曰琴鼓之山，其木多穀柞椒柘，其上多白珉，其下多洗石，其獸多豕鹿，多白犀，其鳥多鴆。,"白犀,洗石,白珉,琴,鹿,豕,柞,柘,椒",中山經,"无关,无关,无关,无关,无关,无关,无关,无关,无关",zhen（鴆）,"baixi（白犀）,xishi（洗石）,baimin（白珉）,qin（琴）,lu（鹿）,shi（豕）,zha（柞）,zhe（柘）,jiao（椒）"
柞,又東南二百里，曰琴鼓之山，其木多穀柞椒柘，其上多白珉，其下多洗石，其獸多豕鹿，多白犀，其鳥多鴆。,"白犀,洗石,白珉,琴,鹿,豕,鴆,柘,椒",中山經,"无关,无关,存在,无关,无关,无关,无关,并列,并列",zha（柞）,"baixi（白犀）,xishi（洗石）,baimin（白珉）,qin（琴）,lu（鹿）,shi（豕）,zhen（鴆）,zhe（柘）,jiao（椒）"
柘,又東南二百里，曰琴鼓之山，其木多穀柞椒柘，其上多白珉，其下多洗石，其獸多豕鹿，多白犀，其鳥多鴆。,"白犀,洗石,白珉,琴,鹿,豕,鴆,柞,椒",中山經,"无关,无关,无关,无关,无关,无关,无关,并列,并列",zhe（柘）,"baixi（白犀）,xishi（洗石）,baimin（白珉）,qin（琴）,lu（鹿）,shi（豕）,zhen（鴆）,zha（柞）,jiao（椒）"
椒,又東南二百里，曰琴鼓之山，其木多穀柞椒柘，其上多白珉，其下多洗石，其獸多豕鹿，多白犀，其鳥多鴆。,"白犀,洗石,白珉,琴,鹿,豕,鴆,柞,柘",中山經,"无关,无关,无关,无关,无关,无关,无关,共存,并列",jiao（椒）,"baixi（白犀）,xishi（洗石）,baimin（白珉）,qin（琴）,lu（鹿）,shi（豕）,zhen（鴆）,zha（柞）,zhe（柘）"
雄雞,凡荊山之首，自景山至琴鼓之山，凡二十三山，二千八百九十里。其神狀皆鳥身而人面。其祠：用一雄雞祈瘞，用一藻圭，糈用稌。驕山，冢也，其祠：用羞酒少牢祈瘞，嬰毛一璧。,"景山,驕山,少牢,藻圭,羞酒,琴,瘞,嬰,祈,毛,璧,糈",中山經,"无关,无关,无关,用,无关,无关,祈,无关,祈,无关,无关,用",xiongji（雄雞）,"jingshan（景山）,jiaoshan（驕山）,shaolao（少牢）,zaogui（藻圭）,xiujiu（羞酒）,qin（琴）,yi（瘞）,ying（嬰）,qi（祈）,mao（毛）,bi（璧）,xu（糈）"
景山,凡荊山之首，自景山至琴鼓之山，凡二十三山，二千八百九十里。其神狀皆鳥身而人面。其祠：用一雄雞祈瘞，用一藻圭，糈用稌。驕山，冢也，其祠：用羞酒少牢祈瘞，嬰毛一璧。,"雄雞,驕山,少牢,藻圭,羞酒,琴,瘞,嬰,祈,毛,璧,糈",中山經,"祭祀,无关,无关,用,无关,无关,祈,无关,无关,无关,无关,用",jingshan（景山）,"xiongji（雄雞）,jiaoshan（驕山）,shaolao（少牢）,zaogui（藻圭）,xiujiu（羞酒）,qin（琴）,yi（瘞）,ying（嬰）,qi（祈）,mao（毛）,bi（璧）,xu（糈）"
驕山,凡荊山之首，自景山至琴鼓之山，凡二十三山，二千八百九十里。其神狀皆鳥身而人面。其祠：用一雄雞祈瘞，用一藻圭，糈用稌。驕山，冢也，其祠：用羞酒少牢祈瘞，嬰毛一璧。,"雄雞,景山,少牢,藻圭,羞酒,琴,瘞,嬰,祈,毛,璧,糈",中山經,"无关,无关,用,无关,用,无关,祈,献祭,祈祭,用,用,无关",jiaoshan（驕山）,"xiongji（雄雞）,jingshan（景山）,shaolao（少牢）,zaogui（藻圭）,xiujiu（羞酒）,qin（琴）,yi（瘞）,ying（嬰）,qi（祈）,mao（毛）,bi（璧）,xu（糈）"
少牢,凡荊山之首，自景山至琴鼓之山，凡二十三山，二千八百九十里。其神狀皆鳥身而人面。其祠：用一雄雞祈瘞，用一藻圭，糈用稌。驕山，冢也，其祠：用羞酒少牢祈瘞，嬰毛一璧。,"雄雞,景山,驕山,藻圭,羞酒,琴,瘞,嬰,祈,毛,璧,糈",中山經,"无关,无关,祈瘞,无关,用,无关,祈,祈瘞,祈,无关,用,无关",shaolao（少牢）,"xiongji（雄雞）,jingshan（景山）,jiaoshan（驕山）,zaogui（藻圭）,xiujiu（羞酒）,qin（琴）,yi（瘞）,ying（嬰）,qi（祈）,mao（毛）,bi（璧）,xu（糈）"
藻圭,凡荊山之首，自景山至琴鼓之山，凡二十三山，二千八百九十里。其神狀皆鳥身而人面。其祠：用一雄雞祈瘞，用一藻圭，糈用稌。驕山，冢也，其祠：用羞酒少牢祈瘞，嬰毛一璧。,"雄雞,景山,驕山,少牢,羞酒,琴,瘞,嬰,祈,毛,璧,糈",中山經,"无关,无关,无关,无关,无关,无关,无关,无关,用,无关,无关,用",zaogui（藻圭）,"xiongji（雄雞）,jingshan（景山）,jiaoshan（驕山）,shaolao（少牢）,xiujiu（羞酒）,qin（琴）,yi（瘞）,ying（嬰）,qi（祈）,mao（毛）,bi（璧）,xu（糈）"
羞酒,凡荊山之首，自景山至琴鼓之山，凡二十三山，二千八百九十里。其神狀皆鳥身而人面。其祠：用一雄雞祈瘞，用一藻圭，糈用稌。驕山，冢也，其祠：用羞酒少牢祈瘞，嬰毛一璧。,"雄雞,景山,驕山,少牢,藻圭,琴,瘞,嬰,祈,毛,璧,糈",中山經,"无关,无关,用,用,无关,无关,祈,用,用,无关,用,无关",xiujiu（羞酒）,"xiongji（雄雞）,jingshan（景山）,jiaoshan（驕山）,shaolao（少牢）,zaogui（藻圭）,qin（琴）,yi（瘞）,ying（嬰）,qi（祈）,mao（毛）,bi（璧）,xu（糈）"
琴,凡荊山之首，自景山至琴鼓之山，凡二十三山，二千八百九十里。其神狀皆鳥身而人面。其祠：用一雄雞祈瘞，用一藻圭，糈用稌。驕山，冢也，其祠：用羞酒少牢祈瘞，嬰毛一璧。,"雄雞,景山,驕山,少牢,藻圭,羞酒,瘞,嬰,祈,毛,璧,糈",中山經,"无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关",qin（琴）,"xiongji（雄雞）,jingshan（景山）,jiaoshan（驕山）,shaolao（少牢）,zaogui（藻圭）,xiujiu（羞酒）,yi（瘞）,ying（嬰）,qi（祈）,mao（毛）,bi（璧）,xu（糈）"
瘞,凡荊山之首，自景山至琴鼓之山，凡二十三山，二千八百九十里。其神狀皆鳥身而人面。其祠：用一雄雞祈瘞，用一藻圭，糈用稌。驕山，冢也，其祠：用羞酒少牢祈瘞，嬰毛一璧。,"雄雞,景山,驕山,少牢,藻圭,羞酒,琴,嬰,祈,毛,璧,糈",中山經,"祈,无关,祈,祈,用,祈,无关,无关,祈瘞,无关,祈,无关",yi（瘞）,"xiongji（雄雞）,jingshan（景山）,jiaoshan（驕山）,shaolao（少牢）,zaogui（藻圭）,xiujiu（羞酒）,qin（琴）,ying（嬰）,qi（祈）,mao（毛）,bi（璧）,xu（糈）"
嬰,凡荊山之首，自景山至琴鼓之山，凡二十三山，二千八百九十里。其神狀皆鳥身而人面。其祠：用一雄雞祈瘞，用一藻圭，糈用稌。驕山，冢也，其祠：用羞酒少牢祈瘞，嬰毛一璧。,"雄雞,景山,驕山,少牢,藻圭,羞酒,琴,瘞,祈,毛,璧,糈",中山經,"无关,无关,献祭,无关,无关,无关,无关,无关,无关,用,用,无关",ying（嬰）,"xiongji（雄雞）,jingshan（景山）,jiaoshan（驕山）,shaolao（少牢）,zaogui（藻圭）,xiujiu（羞酒）,qin（琴）,yi（瘞）,qi（祈）,mao（毛）,bi（璧）,xu（糈）"
祈,凡荊山之首，自景山至琴鼓之山，凡二十三山，二千八百九十里。其神狀皆鳥身而人面。其祠：用一雄雞祈瘞，用一藻圭，糈用稌。驕山，冢也，其祠：用羞酒少牢祈瘞，嬰毛一璧。,"雄雞,景山,驕山,少牢,藻圭,羞酒,琴,瘞,嬰,毛,璧,糈",中山經,"用,无关,无关,用,用,用,无关,祈瘞,无关,无关,用,用",qi（祈）,"xiongji（雄雞）,jingshan（景山）,jiaoshan（驕山）,shaolao（少牢）,zaogui（藻圭）,xiujiu（羞酒）,qin（琴）,yi（瘞）,ying（嬰）,mao（毛）,bi（璧）,xu（糈）"
毛,凡荊山之首，自景山至琴鼓之山，凡二十三山，二千八百九十里。其神狀皆鳥身而人面。其祠：用一雄雞祈瘞，用一藻圭，糈用稌。驕山，冢也，其祠：用羞酒少牢祈瘞，嬰毛一璧。,"雄雞,景山,驕山,少牢,藻圭,羞酒,琴,瘞,嬰,祈,璧,糈",中山經,"无关,无关,用,无关,无关,无关,无关,无关,包裹,无关,伴随,无关",mao（毛）,"xiongji（雄雞）,jingshan（景山）,jiaoshan（驕山）,shaolao（少牢）,zaogui（藻圭）,xiujiu（羞酒）,qin（琴）,yi（瘞）,ying（嬰）,qi（祈）,bi（璧）,xu（糈）"
璧,凡荊山之首，自景山至琴鼓之山，凡二十三山，二千八百九十里。其神狀皆鳥身而人面。其祠：用一雄雞祈瘞，用一藻圭，糈用稌。驕山，冢也，其祠：用羞酒少牢祈瘞，嬰毛一璧。,"雄雞,景山,驕山,少牢,藻圭,羞酒,琴,瘞,嬰,祈,毛,糈",中山經,"无关,无关,用,无关,无关,无关,无关,瘞,包裹,无关,包裹,无关",bi（璧）,"xiongji（雄雞）,jingshan（景山）,jiaoshan（驕山）,shaolao（少牢）,zaogui（藻圭）,xiujiu（羞酒）,qin（琴）,yi（瘞）,ying（嬰）,qi（祈）,mao（毛）,xu（糈）"
糈,凡荊山之首，自景山至琴鼓之山，凡二十三山，二千八百九十里。其神狀皆鳥身而人面。其祠：用一雄雞祈瘞，用一藻圭，糈用稌。驕山，冢也，其祠：用羞酒少牢祈瘞，嬰毛一璧。,"雄雞,景山,驕山,少牢,藻圭,羞酒,琴,瘞,嬰,祈,毛,璧",中山經,"无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关",xu（糈）,"xiongji（雄雞）,jingshan（景山）,jiaoshan（驕山）,shaolao（少牢）,zaogui（藻圭）,xiujiu（羞酒）,qin（琴）,yi（瘞）,ying（嬰）,qi（祈）,mao（毛）,bi（璧）"
岷山,《中次九經》岷山之首，曰女凡之山，其上多石涅，其木多杻橿，其草多菊𦬸。洛水出焉，東注于江，其中多雄黃，其獸多虎豹。,"洛水,石涅,豹,虎,江,橿,杻,𦬸,菊",中山經,"流出,存在,存在,存在,注,生长,存在,生长,生长",minshan（岷山）,"luoshui（洛水）,shinie（石涅）,bao（豹）,hu（虎）,jiang（江）,jiang（橿）,chou（杻）,zhu（𦬸）,ju（菊）"
洛水,《中次九經》岷山之首，曰女凡之山，其上多石涅，其木多杻橿，其草多菊𦬸。洛水出焉，東注于江，其中多雄黃，其獸多虎豹。,"岷山,石涅,豹,虎,江,橿,杻,𦬸,菊",中山經,"无关,无关,包含,存在,注入,无关,无关,无关,无关",luoshui（洛水）,"minshan（岷山）,shinie（石涅）,bao（豹）,hu（虎）,jiang（江）,jiang（橿）,chou（杻）,zhu（𦬸）,ju（菊）"
石涅,《中次九經》岷山之首，曰女凡之山，其上多石涅，其木多杻橿，其草多菊𦬸。洛水出焉，東注于江，其中多雄黃，其獸多虎豹。,"岷山,洛水,豹,虎,江,橿,杻,𦬸,菊",中山經,"存在,无关,无关,无关,无关,共存,无关,并列,无关",shinie（石涅）,"minshan（岷山）,luoshui（洛水）,bao（豹）,hu（虎）,jiang（江）,jiang（橿）,chou（杻）,zhu（𦬸）,ju（菊）"
豹,《中次九經》岷山之首，曰女凡之山，其上多石涅，其木多杻橿，其草多菊𦬸。洛水出焉，東注于江，其中多雄黃，其獸多虎豹。,"岷山,洛水,石涅,虎,江,橿,杻,𦬸,菊",中山經,"存在,无关,无关,共存,无关,无关,无关,无关,无关",bao（豹）,"minshan（岷山）,luoshui（洛水）,shinie（石涅）,hu（虎）,jiang（江）,jiang（橿）,chou（杻）,zhu（𦬸）,ju（菊）"
虎,《中次九經》岷山之首，曰女凡之山，其上多石涅，其木多杻橿，其草多菊𦬸。洛水出焉，東注于江，其中多雄黃，其獸多虎豹。,"岷山,洛水,石涅,豹,江,橿,杻,𦬸,菊",中山經,"存在,无关,无关,共存,无关,无关,无关,无关,无关",hu（虎）,"minshan（岷山）,luoshui（洛水）,shinie（石涅）,bao（豹）,jiang（江）,jiang（橿）,chou（杻）,zhu（𦬸）,ju（菊）"
江,《中次九經》岷山之首，曰女凡之山，其上多石涅，其木多杻橿，其草多菊𦬸。洛水出焉，東注于江，其中多雄黃，其獸多虎豹。,"岷山,洛水,石涅,豹,虎,橿,杻,𦬸,菊",中山經,"流入,注入,无关,无关,无关,无关,无关,无关,无关",jiang（江）,"minshan（岷山）,luoshui（洛水）,shinie（石涅）,bao（豹）,hu（虎）,jiang（橿）,chou（杻）,zhu（𦬸）,ju（菊）"
橿,《中次九經》岷山之首，曰女凡之山，其上多石涅，其木多杻橿，其草多菊𦬸。洛水出焉，東注于江，其中多雄黃，其獸多虎豹。,"岷山,洛水,石涅,豹,虎,江,杻,𦬸,菊",中山經,"生长,无关,无关,无关,无关,无关,并列,无关,无关",jiang（橿）,"minshan（岷山）,luoshui（洛水）,shinie（石涅）,bao（豹）,hu（虎）,jiang（江）,chou（杻）,zhu（𦬸）,ju（菊）"
杻,《中次九經》岷山之首，曰女凡之山，其上多石涅，其木多杻橿，其草多菊𦬸。洛水出焉，東注于江，其中多雄黃，其獸多虎豹。,"岷山,洛水,石涅,豹,虎,江,橿,𦬸,菊",中山經,"生长于,无关,无关,无关,无关,无关,并列,无关,共存",chou（杻）,"minshan（岷山）,luoshui（洛水）,shinie（石涅）,bao（豹）,hu（虎）,jiang（江）,jiang（橿）,zhu（𦬸）,ju（菊）"
𦬸,《中次九經》岷山之首，曰女凡之山，其上多石涅，其木多杻橿，其草多菊𦬸。洛水出焉，東注于江，其中多雄黃，其獸多虎豹。,"岷山,洛水,石涅,豹,虎,江,橿,杻,菊",中山經,"生长,无关,无关,无关,无关,无关,无关,无关,并列",zhu（𦬸）,"minshan（岷山）,luoshui（洛水）,shinie（石涅）,bao（豹）,hu（虎）,jiang（江）,jiang（橿）,chou（杻）,ju（菊）"
菊,《中次九經》岷山之首，曰女凡之山，其上多石涅，其木多杻橿，其草多菊𦬸。洛水出焉，東注于江，其中多雄黃，其獸多虎豹。,"岷山,洛水,石涅,豹,虎,江,橿,杻,𦬸",中山經,"生长,无关,无关,无关,无关,无关,无关,无关,并列",ju（菊）,"minshan（岷山）,luoshui（洛水）,shinie（石涅）,bao（豹）,hu（虎）,jiang（江）,jiang（橿）,chou（杻）,zhu（𦬸）"
夔牛,又東北三百里，曰岷山，江水出焉，東北流注于海，其中多良龜，多鼉。其上多金玉，其下多白珉，其木多梅棠，其獸多犀象，多夔牛，其鳥多翰鷩。,"岷山,江水,白珉,犀,象,鷩,翰,龜,鼉,梅,棠,玉,金",中山經,"存在,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关",kuiniu（夔牛）,"minshan（岷山）,jiangshui（江水）,baimin（白珉）,xi（犀）,xiang（象）,bi（鷩）,han（翰）,gui（龜）,tuo（鼉）,mei（梅）,tang（棠）,yu（玉）,jin（金）"
岷山,又東北三百里，曰岷山，江水出焉，東北流注于海，其中多良龜，多鼉。其上多金玉，其下多白珉，其木多梅棠，其獸多犀象，多夔牛，其鳥多翰鷩。,"夔牛,江水,白珉,犀,象,鷩,翰,龜,鼉,梅,棠,玉,金",中山經,"存在,出,存在,存在,存在,存在,存在,包含,存在,生长,生长,存在,存在",minshan（岷山）,"kuiniu（夔牛）,jiangshui（江水）,baimin（白珉）,xi（犀）,xiang（象）,bi（鷩）,han（翰）,gui（龜）,tuo（鼉）,mei（梅）,tang（棠）,yu（玉）,jin（金）"
江水,又東北三百里，曰岷山，江水出焉，東北流注于海，其中多良龜，多鼉。其上多金玉，其下多白珉，其木多梅棠，其獸多犀象，多夔牛，其鳥多翰鷩。,"夔牛,岷山,白珉,犀,象,鷩,翰,龜,鼉,梅,棠,玉,金",中山經,"无关,出,无关,无关,无关,无关,无关,包含,存在,无关,无关,无关,无关",jiangshui（江水）,"kuiniu（夔牛）,minshan（岷山）,baimin（白珉）,xi（犀）,xiang（象）,bi（鷩）,han（翰）,gui（龜）,tuo（鼉）,mei（梅）,tang（棠）,yu（玉）,jin（金）"
白珉,又東北三百里，曰岷山，江水出焉，東北流注于海，其中多良龜，多鼉。其上多金玉，其下多白珉，其木多梅棠，其獸多犀象，多夔牛，其鳥多翰鷩。,"夔牛,岷山,江水,犀,象,鷩,翰,龜,鼉,梅,棠,玉,金",中山經,"无关,位于,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关,无关",baimin（白珉）,"kuiniu（夔牛）,minshan（岷山）,jiangshui（江水）,xi（犀）,xiang（象）,bi（鷩）,han（翰）,gui（龜）,tuo（鼉）,mei（梅）,tang（棠）,yu（玉）,jin（金）"
犀,又東北三百里，曰岷山，江水出焉，東北流注于海，其中多良龜，多鼉。其上多金玉，其下多白珉，其木多梅棠，其獸多犀象，多夔牛，其鳥多翰鷩。,"夔牛,岷山,江水,白珉,象,鷩,翰,龜,鼉,梅,棠,玉,金",中山經,"共存,存在,无关,无关,共存,无关,无关,无关,无关,无关,无关,无关,无关",xi（犀）,"kuiniu（夔牛）,minshan（岷山）,jiangshui（江水）,baimin（白珉）,xiang（象）,bi（鷩）,han（翰）,gui（龜）,tuo（鼉）,mei（梅）,tang（棠）,yu（玉）,jin（金）"
象,又東北三百里，曰岷山，江水出焉，東北流注于海，其中多良龜，多鼉。其上多金玉，其下多白珉，其木多梅棠，其獸多犀象，多夔牛，其鳥多翰鷩。,"夔牛,岷山,江水,白珉,犀,鷩,翰,龜,鼉,梅,棠,玉,金",中山經,"共存,存在,无关,无关,共存,无关,无关,无关,无关,无关,无关,无关,无关",xiang（象）,"kuiniu（夔牛）,minshan（岷山）,jiangshui（江水）,baimin（白珉）,xi（犀）,bi（鷩）,han（翰）,gui（龜）,tuo（鼉）,mei（梅）,tang（棠）,yu（玉）,jin（金）"
鷩,又東北三百里，曰岷山，江水出焉，東北流注于海，其中多良龜，多鼉。其上多金玉，其下多白珉，其木多梅棠，其獸多犀象，多夔牛，其鳥多翰鷩。,"夔牛,岷山,江水,白珉,犀,象,翰,龜,鼉,梅,棠,玉,金",中山經,"无关,栖息,无关,无关,无关,无关,共存,无关,无关,无关,无关,无关,无关",bi（鷩）,"kuiniu（夔牛）,minshan（岷山）,jiangshui（江水）,baimin（白珉）,xi（犀）,xiang（象）,han（翰）,gui（龜）,tuo（鼉）,mei（梅）,tang（棠）,yu（玉）,jin（金）"
翰,又東北三百里，曰岷山，江水出焉，東北流注于海，其中多良龜，多鼉。其上多金玉，其下多白珉，其木多梅棠，其獸多犀象，多夔牛，其鳥多翰鷩。,"夔牛,岷山,江水,白珉,犀,象,鷩,龜,鼉,梅,棠,玉,金",中山經,"无关,存在,无关,无关,无关,无关,共存,无关,无关,无关,无关,无关,无关",han（翰）,"kuiniu（夔牛）,minshan（岷山）,jiangshui（江水）,baimin（白珉）,xi（犀）,xiang（象）,bi（鷩）,gui（龜）,tuo（鼉）,mei（梅）,tang（棠）,yu（玉）,jin（金）"
龜,又東北三百里，曰岷山，江水出焉，東北流注于海，其中多良龜，多鼉。其上多金玉，其下多白珉，其木多梅棠，其獸多犀象，多夔牛，其鳥多翰鷩。,"夔牛,岷山,江水,白珉,犀,象,鷩,翰,鼉,梅,棠,玉,金",中山經,"无关,存在,存在,无关,无关,无关,无关,无关,共存,无关,无关,无关,无关",gui（龜）,"kuiniu（夔牛）,minshan（岷山）,jiangshui（江水）,baimin（白珉）,xi（犀）,xiang（象）,bi（鷩）,han（翰）,tuo（鼉）,mei（梅）,tang（棠）,yu（玉）,jin（金）"
鼉,又東北三百里，曰岷山，江水出焉，東北流注于海，其中多良龜，多鼉。其上多金玉，其下多白珉，其木多梅棠，其獸多犀象，多夔牛，其鳥多翰鷩。,"夔牛,岷山,江水,白珉,犀,象,鷩,翰,龜,梅,棠,玉,金",中山經,"无关,存在,无关,无关,无关,无关,无关,无关,共存,无关,无关,无关,无关",tuo（鼉）,"kuiniu（夔牛）,minshan（岷山）,jiangshui（江水）,baimin（白珉）,xi（犀）,xiang（象）,bi（鷩）,han（翰）,gui（龜）,mei（梅）,tang（棠）,yu（玉）,jin（金）"
